holdout,scheme,seed,weights,auroc,auprc
HAP1,uniform,0,K562=1.000;MDA-MB-231=1.000,0.7248,0.1702
HAP1,uniform,1,K562=1.000;MDA-MB-231=1.000,0.7217,0.163
HAP1,uniform,2,K562=1.000;MDA-MB-231=1.000,0.7117,0.1577
HAP1,uniform,3,K562=1.000;MDA-MB-231=1.000,0.7191,0.1578
HAP1,uniform,4,K562=1.000;MDA-MB-231=1.000,0.7113,0.1552
HAP1,uniform,5,K562=1.000;MDA-MB-231=1.000,0.7143,0.1605
HAP1,uniform,6,K562=1.000;MDA-MB-231=1.000,0.7204,0.1656
HAP1,uniform,7,K562=1.000;MDA-MB-231=1.000,0.7217,0.1682
HAP1,umap,0,K562=0.382;MDA-MB-231=1.618,0.7259,0.1752
HAP1,umap,1,K562=0.382;MDA-MB-231=1.618,0.7275,0.1733
HAP1,umap,2,K562=0.382;MDA-MB-231=1.618,0.7148,0.164
HAP1,umap,3,K562=0.382;MDA-MB-231=1.618,0.7233,0.1666
HAP1,umap,4,K562=0.382;MDA-MB-231=1.618,0.7169,0.163
HAP1,umap,5,K562=0.382;MDA-MB-231=1.618,0.7155,0.171
HAP1,umap,6,K562=0.382;MDA-MB-231=1.618,0.7242,0.1739
HAP1,umap,7,K562=0.382;MDA-MB-231=1.618,0.7295,0.1796
HAP1,pca70,0,K562=0.889;MDA-MB-231=1.111,0.7295,0.173
HAP1,pca70,1,K562=0.889;MDA-MB-231=1.111,0.7246,0.1743
HAP1,pca70,2,K562=0.889;MDA-MB-231=1.111,0.7141,0.1637
HAP1,pca70,3,K562=0.889;MDA-MB-231=1.111,0.7212,0.1673
HAP1,pca70,4,K562=0.889;MDA-MB-231=1.111,0.7166,0.167
HAP1,pca70,5,K562=0.889;MDA-MB-231=1.111,0.7155,0.1705
HAP1,pca70,6,K562=0.889;MDA-MB-231=1.111,0.7217,0.1727
HAP1,pca70,7,K562=0.889;MDA-MB-231=1.111,0.7227,0.1726
HAP1,lineage,0,K562=1.500;MDA-MB-231=0.500,0.7154,0.1542
HAP1,lineage,1,K562=1.500;MDA-MB-231=0.500,0.7115,0.1507
HAP1,lineage,2,K562=1.500;MDA-MB-231=0.500,0.7107,0.1488
HAP1,lineage,3,K562=1.500;MDA-MB-231=0.500,0.7083,0.1453
HAP1,lineage,4,K562=1.500;MDA-MB-231=0.500,0.7074,0.1426
HAP1,lineage,5,K562=1.500;MDA-MB-231=0.500,0.7038,0.1502
HAP1,lineage,6,K562=1.500;MDA-MB-231=0.500,0.7187,0.1551
HAP1,lineage,7,K562=1.500;MDA-MB-231=0.500,0.7233,0.1568
HAP1,posrate,0,K562=0.563;MDA-MB-231=1.437,0.7206,0.1778
HAP1,posrate,1,K562=0.563;MDA-MB-231=1.437,0.7311,0.1766
HAP1,posrate,2,K562=0.563;MDA-MB-231=1.437,0.7122,0.1658
HAP1,posrate,3,K562=0.563;MDA-MB-231=1.437,0.714,0.1741
HAP1,posrate,4,K562=0.563;MDA-MB-231=1.437,0.7123,0.1648
HAP1,posrate,5,K562=0.563;MDA-MB-231=1.437,0.7178,0.174
HAP1,posrate,6,K562=0.563;MDA-MB-231=1.437,0.7188,0.172
HAP1,posrate,7,K562=0.563;MDA-MB-231=1.437,0.7227,0.1786
K562,uniform,0,HAP1=1.000;MDA-MB-231=1.000,0.6709,0.16
K562,uniform,1,HAP1=1.000;MDA-MB-231=1.000,0.6625,0.1537
K562,uniform,2,HAP1=1.000;MDA-MB-231=1.000,0.6586,0.1534
K562,uniform,3,HAP1=1.000;MDA-MB-231=1.000,0.6772,0.1596
K562,uniform,4,HAP1=1.000;MDA-MB-231=1.000,0.6775,0.1591
K562,uniform,5,HAP1=1.000;MDA-MB-231=1.000,0.6561,0.1551
K562,uniform,6,HAP1=1.000;MDA-MB-231=1.000,0.6701,0.1574
K562,uniform,7,HAP1=1.000;MDA-MB-231=1.000,0.6677,0.1557
K562,umap,0,HAP1=0.929;MDA-MB-231=1.071,0.6745,0.1593
K562,umap,1,HAP1=0.929;MDA-MB-231=1.071,0.6634,0.1538
K562,umap,2,HAP1=0.929;MDA-MB-231=1.071,0.6649,0.156
K562,umap,3,HAP1=0.929;MDA-MB-231=1.071,0.668,0.1564
K562,umap,4,HAP1=0.929;MDA-MB-231=1.071,0.6813,0.1605
K562,umap,5,HAP1=0.929;MDA-MB-231=1.071,0.6647,0.1586
K562,umap,6,HAP1=0.929;MDA-MB-231=1.071,0.6733,0.1596
K562,umap,7,HAP1=0.929;MDA-MB-231=1.071,0.6693,0.1543
K562,pca70,0,HAP1=1.047;MDA-MB-231=0.953,0.667,0.1572
K562,pca70,1,HAP1=1.047;MDA-MB-231=0.953,0.6579,0.1557
K562,pca70,2,HAP1=1.047;MDA-MB-231=0.953,0.6615,0.1554
K562,pca70,3,HAP1=1.047;MDA-MB-231=0.953,0.6766,0.1604
K562,pca70,4,HAP1=1.047;MDA-MB-231=0.953,0.6777,0.1607
K562,pca70,5,HAP1=1.047;MDA-MB-231=0.953,0.6602,0.1556
