holdout,config,seed,n_features,auroc,auprc
HAP1,kmer+onehot+tpm,0,267,0.6365,0.137
HAP1,kmer+onehot+tpm,1,267,0.6394,0.1342
HAP1,kmer+onehot+tpm,2,267,0.6381,0.1478
HAP1,kmer+onehot+tpm,3,267,0.6367,0.1582
HAP1,kmer+onehot+tpm,4,267,0.6349,0.1392
HAP1,+s1a+guide,0,298,0.7248,0.1702
HAP1,+s1a+guide,1,298,0.7217,0.163
HAP1,+s1a+guide,2,298,0.7117,0.1577
HAP1,+s1a+guide,3,298,0.7191,0.1578
HAP1,+s1a+guide,4,298,0.7113,0.1552
HAP1,nokmer onehot+tpm+guide,0,20,0.7227,0.1507
HAP1,nokmer onehot+tpm+guide,1,20,0.7287,0.1606
HAP1,nokmer onehot+tpm+guide,2,20,0.7273,0.1608
HAP1,nokmer onehot+tpm+guide,3,20,0.7176,0.1528
HAP1,nokmer onehot+tpm+guide,4,20,0.727,0.1614
HAP1,nokmer +s1a,0,42,0.7269,0.1628
HAP1,nokmer +s1a,1,42,0.7204,0.1629
HAP1,nokmer +s1a,2,42,0.7165,0.158
HAP1,nokmer +s1a,3,42,0.7241,0.1651
HAP1,nokmer +s1a,4,42,0.7178,0.1596
HAP1,nokmer tpm+guide,0,15,0.7123,0.1423
HAP1,nokmer tpm+guide,1,15,0.7138,0.1471
HAP1,nokmer tpm+guide,2,15,0.7113,0.1396
HAP1,nokmer tpm+guide,3,15,0.7145,0.146
HAP1,nokmer tpm+guide,4,15,0.7142,0.1432
HAP1,s1a+guide only,0,31,0.7073,0.1249
HAP1,s1a+guide only,1,31,0.705,0.1182
HAP1,s1a+guide only,2,31,0.706,0.13
HAP1,s1a+guide only,3,31,0.7088,0.1207
HAP1,s1a+guide only,4,31,0.7087,0.1293
K562,kmer+onehot+tpm,0,267,0.5659,0.1332
K562,kmer+onehot+tpm,1,267,0.5832,0.1367
K562,kmer+onehot+tpm,2,267,0.5641,0.1296
K562,kmer+onehot+tpm,3,267,0.5745,0.1331
K562,kmer+onehot+tpm,4,267,0.5787,0.1357
K562,+s1a+guide,0,298,0.6709,0.16
K562,+s1a+guide,1,298,0.6625,0.1537
K562,+s1a+guide,2,298,0.6586,0.1534
K562,+s1a+guide,3,298,0.6772,0.1596
K562,+s1a+guide,4,298,0.6775,0.1591
K562,nokmer onehot+tpm+guide,0,20,0.726,0.1796
K562,nokmer onehot+tpm+guide,1,20,0.7186,0.173
K562,nokmer onehot+tpm+guide,2,20,0.725,0.177
K562,nokmer onehot+tpm+guide,3,20,0.7249,0.1802
K562,nokmer onehot+tpm+guide,4,20,0.7263,0.1744
K562,nokmer +s1a,0,42,0.7183,0.1725
K562,nokmer +s1a,1,42,0.7071,0.1704
K562,nokmer +s1a,2,42,0.7174,0.1718
K562,nokmer +s1a,3,42,0.7131,0.1756
K562,nokmer +s1a,4,42,0.7091,0.1736
K562,nokmer tpm+guide,0,15,0.7259,0.1765
K562,nokmer tpm+guide,1,15,0.7201,0.1736
K562,nokmer tpm+guide,2,15,0.7217,0.1752
K562,nokmer tpm+guide,3,15,0.7256,0.1766
K562,nokmer tpm+guide,4,15,0.7232,0.1735
K562,s1a+guide only,0,31,0.7072,0.16
K562,s1a+guide only,1,31,0.7071,0.1617
K562,s1a+guide only,2,31,0.7062,0.1639
K562,s1a+guide only,3,31,0.7134,0.1645
K562,s1a+guide only,4,31,0.7108,0.1608
MDA-MB-231,kmer+onehot+tpm,0,267,0.6834,0.1322
MDA-MB-231,kmer+onehot+tpm,1,267,0.672,0.1332
MDA-MB-231,kmer+onehot+tpm,2,267,0.6897,0.142
MDA-MB-231,kmer+onehot+tpm,3,267,0.6805,0.1477
MDA-MB-231,kmer+onehot+tpm,4,267,0.6811,0.1391
MDA-MB-231,+s1a+guide,0,298,0.7435,0.1584
MDA-MB-231,+s1a+guide,1,298,0.7497,0.1548
MDA-MB-231,+s1a+guide,2,298,0.7487,0.1512
MDA-MB-231,+s1a+guide,3,298,0.7487,0.1515
MDA-MB-231,+s1a+guide,4,298,0.7496,0.1584
MDA-MB-231,nokmer onehot+tpm+guide,0,20,0.7204,0.1407
MDA-MB-231,nokmer onehot+tpm+guide,1,20,0.7165,0.1395
MDA-MB-231,nokmer onehot+tpm+guide,2,20,0.7203,0.1474
MDA-MB-231,nokmer onehot+tpm+guide,3,20,0.7099,0.1345
MDA-MB-231,nokmer onehot+tpm+guide,4,20,0.714,0.1391
MDA-MB-231,nokmer +s1a,0,42,0.7223,0.1535
MDA-MB-231,nokmer +s1a,1,42,0.7241,0.1499
MDA-MB-231,nokmer +s1a,2,42,0.7177,0.1505
MDA-MB-231,nokmer +s1a,3,42,0.7246,0.1536
MDA-MB-231,nokmer +s1a,4,42,0.7195,0.1488
MDA-MB-231,nokmer tpm+guide,0,15,0.7177,0.1404
MDA-MB-231,nokmer tpm+guide,1,15,0.7195,0.1403
MDA-MB-231,nokmer tpm+guide,2,15,0.72,0.1408
MDA-MB-231,nokmer tpm+guide,3,15,0.7209,0.1434
MDA-MB-231,nokmer tpm+guide,4,15,0.7178,0.139
MDA-MB-231,s1a+guide only,0,31,0.7264,0.1142
MDA-MB-231,s1a+guide only,1,31,0.7193,0.1154
MDA-MB-231,s1a+guide only,2,31,0.7263,0.1162
MDA-MB-231,s1a+guide only,3,31,0.7229,0.1177
MDA-MB-231,s1a+guide only,4,31,0.7219,0.1157
