holdout,config,seed,n_features,auroc,auprc
HAP1,prior_only,0,1,0.6409,0.1393
HAP1,prior_only,1,1,0.6383,0.1392
HAP1,prior_only,2,1,0.64,0.1392
HAP1,prior+extra,0,7,0.5589,0.1146
HAP1,prior+extra,1,7,0.5398,0.1098
HAP1,prior+extra,2,7,0.5669,0.1141
HAP1,prior+dist,0,3,0.6178,0.1223
HAP1,prior+dist,1,3,0.6123,0.1231
HAP1,prior+dist,2,3,0.6155,0.1222
HAP1,prior+kmer,0,257,0.6211,0.1166
HAP1,prior+kmer,1,257,0.6198,0.1211
HAP1,prior+kmer,2,257,0.6191,0.1112
HAP1,prior+dist+kmer,0,259,0.6209,0.119
HAP1,prior+dist+kmer,1,259,0.6098,0.117
HAP1,prior+dist+kmer,2,259,0.6172,0.1231
HAP1,all,0,265,0.6412,0.1248
HAP1,all,1,265,0.6291,0.1177
HAP1,all,2,265,0.63,0.1247
HAP1,kmer_only,0,256,0.6108,0.1078
HAP1,kmer_only,1,256,0.6111,0.1144
HAP1,kmer_only,2,256,0.6096,0.111
HAP1,dist_only,0,2,0.5433,0.0517
HAP1,dist_only,1,2,0.5426,0.0514
HAP1,dist_only,2,2,0.5417,0.0522
K562,prior_only,0,1,0.5906,0.1242
K562,prior_only,1,1,0.5874,0.1241
K562,prior_only,2,1,0.5888,0.1243
K562,prior+extra,0,7,0.5549,0.1188
K562,prior+extra,1,7,0.547,0.1183
K562,prior+extra,2,7,0.5439,0.1138
K562,prior+dist,0,3,0.6326,0.1353
K562,prior+dist,1,3,0.6298,0.1306
K562,prior+dist,2,3,0.628,0.1341
K562,prior+kmer,0,257,0.5715,0.1242
K562,prior+kmer,1,257,0.5771,0.125
K562,prior+kmer,2,257,0.5737,0.1239
K562,prior+dist+kmer,0,259,0.5776,0.1234
K562,prior+dist+kmer,1,259,0.5753,0.1186
K562,prior+dist+kmer,2,259,0.5835,0.1259
K562,all,0,265,0.6021,0.1394
K562,all,1,265,0.6004,0.1388
K562,all,2,265,0.577,0.1358
K562,kmer_only,0,256,0.4961,0.1054
K562,kmer_only,1,256,0.4924,0.1051
K562,kmer_only,2,256,0.4924,0.1033
K562,dist_only,0,2,0.5281,0.0808
K562,dist_only,1,2,0.53,0.0817
K562,dist_only,2,2,0.5311,0.0834
MDA-MB-231,prior_only,0,1,0.6465,0.134
MDA-MB-231,prior_only,1,1,0.648,0.1383
MDA-MB-231,prior_only,2,1,0.6473,0.1343
MDA-MB-231,prior+extra,0,7,0.5941,0.1156
MDA-MB-231,prior+extra,1,7,0.6112,0.1186
MDA-MB-231,prior+extra,2,7,0.5933,0.1169
MDA-MB-231,prior+dist,0,3,0.6399,0.136
MDA-MB-231,prior+dist,1,3,0.6381,0.1427
MDA-MB-231,prior+dist,2,3,0.6398,0.1405
MDA-MB-231,prior+kmer,0,257,0.6887,0.1117
MDA-MB-231,prior+kmer,1,257,0.6909,0.1173
MDA-MB-231,prior+kmer,2,257,0.6911,0.1132
MDA-MB-231,prior+dist+kmer,0,259,0.6744,0.1114
MDA-MB-231,prior+dist+kmer,1,259,0.6929,0.1104
MDA-MB-231,prior+dist+kmer,2,259,0.6808,0.1207
MDA-MB-231,all,0,265,0.6734,0.1216
MDA-MB-231,all,1,265,0.6879,0.1189
MDA-MB-231,all,2,265,0.7018,0.1255
MDA-MB-231,kmer_only,0,256,0.6775,0.0949
MDA-MB-231,kmer_only,1,256,0.6876,0.0997
MDA-MB-231,kmer_only,2,256,0.676,0.0908
MDA-MB-231,dist_only,0,2,0.5566,0.0416
MDA-MB-231,dist_only,1,2,0.5432,0.0406
MDA-MB-231,dist_only,2,2,0.5522,0.0399
