holdout,scorer,n,n_pos,auroc,auprc
HAP1,neg_mean_fc,5496,235,0.7134,0.1747
HAP1,neg_min_fc,5496,235,0.6922,0.177
HAP1,neg_max_fc,5496,235,0.6765,0.1395
HAP1,neg_median_fc,5496,235,0.7134,0.1747
HAP1,hit_count,5496,235,0.6078,0.093
HAP1,mean_signed_logp,5496,235,0.6806,0.1567
HAP1,max_signed_logp,5496,235,0.6786,0.1451
HAP1,mean_fc_x_logp,5496,235,0.6843,0.1645
HAP1,z_meanfc_plus_hits,5496,235,0.7139,0.1677
HAP1,z_meanfc_plus_logp,5496,235,0.7152,0.1686
K562,neg_mean_fc,5496,401,0.6725,0.1612
K562,neg_min_fc,5496,401,0.6565,0.1546
K562,neg_max_fc,5496,401,0.6573,0.157
K562,neg_median_fc,5496,401,0.6725,0.1612
K562,hit_count,5496,401,0.5506,0.0979
K562,mean_signed_logp,5496,401,0.6493,0.1532
K562,max_signed_logp,5496,401,0.6489,0.1511
K562,mean_fc_x_logp,5496,401,0.65,0.1529
K562,z_meanfc_plus_hits,5496,401,0.6727,0.1619
K562,z_meanfc_plus_logp,5496,401,0.6739,0.1632
MDA-MB-231,neg_mean_fc,5496,157,0.7087,0.1826
MDA-MB-231,neg_min_fc,5496,157,0.6904,0.1849
MDA-MB-231,neg_max_fc,5496,157,0.675,0.1362
MDA-MB-231,neg_median_fc,5496,157,0.7087,0.1826
MDA-MB-231,hit_count,5496,157,0.6192,0.0698
MDA-MB-231,mean_signed_logp,5496,157,0.6861,0.1722
MDA-MB-231,max_signed_logp,5496,157,0.6836,0.1707
MDA-MB-231,mean_fc_x_logp,5496,157,0.6853,0.1902
MDA-MB-231,z_meanfc_plus_hits,5496,157,0.7091,0.1715
MDA-MB-231,z_meanfc_plus_logp,5496,157,0.7073,0.1847
