trial,chromosome,n_val,spearman_rho,best_n_estimators,pruned
0,2,16664,0.1750270325756011,317,false
0,3,16664,0.17233497492743638,479,false
0,4,16664,0.18791252444218098,269,false
0,5,16664,0.16804268660764946,155,false
0,6,16664,0.16242617527097217,377,false
0,7,16664,0.18123874766198292,129,false
0,8,16664,0.16176556431774314,107,false
0,9,16664,0.16769945462608823,227,false
0,X,16664,0.17183126283402558,234,false
0,Y,16664,0.1682361482138809,237,false
0,10,16664,0.1734794485662435,336,false
0,11,16664,0.17030892132320602,365,false
0,12,16664,0.1759082843741401,438,false
0,13,16664,0.16991271202279581,376,false
0,14,16664,0.1660510497996642,213,false
0,15,16664,0.16235963157120786,345,false
0,16,16664,0.16411825678721761,260,false
0,17,16664,0.17043421051811705,246,false
0,18,16664,0.17079985585786708,136,false
0,19,16664,0.150941516335986,359,false
0,20,16664,0.16011809290012932,311,false
0,21,16664,0.1750492244584465,199,false
0,22,16664,0.165856261969607,173,false
1,2,16664,0.16508170517223653,47,false
1,3,16664,0.16011506962607144,41,false
1,4,16664,0.18047741877981832,41,false
1,5,16664,0.1601512339398744,28,false
1,6,16664,0.15728827828621522,26,false
1,7,16664,0.17642131358553428,54,false
1,8,16664,0.15270255652194997,41,false
1,9,16664,0.1634839473748897,31,false
1,X,16664,0.14465426473305348,38,false
1,Y,16664,0.17713948651844347,51,false
1,10,16664,0.164717487499367,51,false
1,11,16664,0.15604689628865995,29,false
1,12,16664,0.17065211481259693,43,false
1,13,16664,0.16358262748077199,65,false
1,14,16664,0.16053584653277472,55,false
1,15,16664,0.15636450515226838,45,false
1,16,16664,0.14900880393723995,81,false
1,17,16664,0.16458624193332141,41,false
1,18,16664,0.15487103914542075,26,false
1,19,16664,0.1356489920187212,44,false
1,20,16664,0.14910463376374886,43,false
1,21,16664,0.16746852616719549,46,false
1,22,16664,0.15708497287996567,41,false
2,2,16664,0.15995588578214587,1474,false
2,3,16664,0.14528909377797353,788,false
2,4,16664,0.17055282029404642,582,false
2,5,16664,0.14752730774503645,481,false
2,6,16664,0.1567968796967048,1814,false
2,7,16664,0.1521992375391564,293,false
2,8,16664,0.14178044865860095,759,false
2,9,16664,0.14631832692842517,293,false
2,X,16664,0.14526411716493995,1266,false
2,Y,16664,0.17274060556955512,1518,false
2,10,16664,0.16335698153968903,2310,false
2,11,16664,0.1511251484153248,1743,false
2,12,16664,0.16094109168182552,1719,false
2,13,16664,0.15999794260440214,2469,false
2,14,16664,0.1419790584578132,1008,false
2,15,16664,0.13790030592287184,340,false
2,16,16664,0.13340337196094063,423,false
2,17,16664,0.1460976605938393,569,false
2,18,16664,0.15264599422571734,453,false
2,19,16664,0.11240760576096497,1456,false
2,20,16664,0.14513164782692395,668,false
2,21,16664,0.1412574761436931,441,false
2,22,16664,0.12973862483996773,1041,false
3,2,16664,0.16675949856303746,2178,false
3,3,16664,0.15597095541748995,975,false
3,4,16664,0.1775093931832155,689,false
3,5,16664,0.1555206589010317,752,false
3,6,16664,0.15624756408636814,725,false
3,7,16664,0.1672803554791825,584,false
3,8,16664,0.15269260879140562,1208,false
3,9,16664,0.1549059348031266,296,false
3,X,16664,0.1510238167080254,676,false
3,Y,16664,0.17862709625020376,1561,false
3,10,16664,0.16919210165677898,2037,false
3,11,16664,0.16025135855701966,1656,false
3,12,16664,0.1708937769511006,2117,false
3,13,16664,0.15974259276007519,1438,false
3,14,16664,0.15413619593712094,1159,false
3,15,16664,0.15005344700389492,1263,false
3,16,16664,0.1495614123730751,1456,false
3,17,16664,0.1624663434762549,1269,false
3,18,16664,0.163106527908169,541,false
3,19,16664,0.12086880373532172,1136,false
3,20,16664,0.15078198412410249,654,false
3,21,16664,0.15445467182936937,824,false
3,22,16664,0.14061113901167477,723,false
4,2,16664,0.15879979034344766,1781,false
4,3,16664,0.14474238828711825,1154,false
4,4,16664,0.15951900403135413,142,false
4,5,16664,0.13671631735243595,281,false
4,6,16664,0.1470490994724974,634,false
4,7,16664,0.14155985108258415,100,false
4,8,16664,0.12948103639031117,246,false
4,9,16664,0.14147927777949643,212,false
4,X,16664,0.1347342556688532,362,false
4,Y,16664,0.14051089338847375,344,false
4,10,16664,0.15367946011541495,1117,false
4,11,16664,0.14215805466354245,795,false
4,12,16664,0.1493889982338426,603,false
4,13,16664,0.1486319063215326,529,false
4,14,16664,0.12994703180558081,356,false
4,15,16664,0.13382487262738718,576,false
4,16,16664,0.11576533899879345,102,false
4,17,16664,0.13580606649825078,203,false
4,18,16664,0.14083890635606178,179,false
4,19,16664,0.09845709151711082,193,false
4,20,16664,0.13518929669194657,263,false
4,21,16664,0.13041966789728077,666,false
4,22,16664,0.11448631538642999,494,false
5,2,16664,0.16311104268989382,108,false
5,3,16664,0.15654140387233323,109,false
5,4,16664,0.17510413722613524,40,false
5,5,16664,0.1497596447056388,30,false
5,6,16664,0.15535993384908467,97,false
5,7,16664,0.15913858803044495,27,false
5,8,16664,0.14595632250794877,114,false
5,9,16664,0.16123137287327033,89,false
5,X,16664,0.1478167854008703,109,false
5,Y,16664,0.1548838722019884,55,false
5,10,16664,0.1649290085681946,111,false
5,11,16664,0.15474985164227434,118,false
5,12,16664,0.16640945796428272,263,false
5,13,16664,0.14968449135997103,59,false
5,14,16664,0.15387282198585842,250,false
5,15,16664,0.15432614765859287,216,false
5,16,16664,0.14287933156073324,272,false
5,17,16664,0.15292497210013373,66,false
5,18,16664,0.14822342910141245,28,false
5,19,16664,0.11917164421603191,88,false
5,20,16664,0.15033752145929483,59,false
5,21,16664,0.146023606485049,62,false
5,22,16664,0.1341523562917256,37,false
6,2,16664,0.1789014218634884,1647,false
6,3,16664,0.17061141121314863,2339,false
6,4,16664,0.190981486330281,673,false
6,5,16664,0.1658016924429544,537,false
6,6,16664,0.17062892112161457,1727,false
6,7,16664,0.1857898108449106,778,false
6,8,16664,0.1643909547961268,452,false
6,9,16664,0.16982984858484187,321,false
6,X,16664,0.16657624937573645,1150,false
6,Y,16664,0.17021046782093435,652,false
6,10,16664,0.1756888540013727,943,false
6,11,16664,0.16958110881112404,1853,false
6,12,16664,0.17948156669249604,1820,false
6,13,16664,0.167141479330783,1201,false
6,14,16664,0.16586427823383845,771,false
6,15,16664,0.16552169631723376,1030,false
6,16,16664,0.16251610267570682,852,false
6,17,16664,0.17578175775538143,1046,false
6,18,16664,0.17132667063401066,428,false
6,19,16664,0.14580139439723905,1127,false
6,20,16664,0.16631865112813105,924,false
6,21,16664,0.17337423389906964,1000,false
6,22,16664,0.1690307580102518,1375,false
7,2,16664,0.17893550979852837,550,false
7,3,16664,0.1712589232331999,643,false
7,4,16664,0.18896438884298436,387,false
7,5,16664,0.16786506307393648,467,false
7,6,16664,0.16856261581552243,1933,false
7,7,16664,0.1824689943807137,364,false
7,8,16664,0.16361856189577856,624,false
7,9,16664,0.17006908346676178,203,false
7,X,16664,0.1740438802907271,365,false
7,Y,16664,0.17131920009287982,450,false
7,10,16664,0.17515463709161383,542,false
7,11,16664,0.16622254676273307,183,false
7,12,16664,0.17965816921365643,908,false
7,13,16664,0.1659280710014261,560,false
7,14,16664,0.17096370410546075,680,false
7,15,16664,0.1669766055982448,781,false
7,16,16664,0.16454015898559526,706,false
7,17,16664,0.1712497834474441,432,false
7,18,16664,0.1714822126335359,266,false
7,19,16664,0.15120657023984235,554,false
7,20,16664,0.1678924511258099,561,false
7,21,16664,0.17800781523033377,1198,false
7,22,16664,0.16896590549155482,375,false
8,2,16664,0.1619486808969252,3178,false
8,3,16664,0.15237300702156284,2987,false
8,4,16664,0.1720688384020508,1019,false
8,5,16664,0.1509309312059724,1456,false
8,6,16664,0.15892446482409894,3264,false
8,7,16664,0.15518264621460706,560,false
8,8,16664,0.14218823440650127,854,false
8,9,16664,0.14897525830081726,485,false
8,X,16664,0.1457414778977796,1496,false
8,Y,16664,0.161773131194432,725,false
8,10,16664,0.16155520992275768,2803,false
8,11,16664,0.14934918432676902,2086,false
8,12,16664,0.16021572055112626,1565,false
8,13,16664,0.15567911595262554,1948,false
8,14,16664,0.1415382051455285,1312,false
8,15,16664,0.14152864505989465,2013,false
8,16,16664,0.14083993893431612,2519,false
8,17,16664,0.14952871991635677,1228,false
8,18,16664,0.15426285778615553,805,false
8,19,16664,0.11277087003590341,2034,false
8,20,16664,0.14505103852655096,1189,false
8,21,16664,0.14144679168403035,954,false
8,22,16664,0.12892482450986323,1245,false
9,2,16664,0.16264883327721555,1421,false
9,3,16664,0.15385141087769338,1436,false
9,4,16664,0.17080064469735803,431,false
9,5,16664,0.14984237777704607,366,false
