holdout,config,seed,n_features,auroc,auprc
HAP1,final (guide9),0,50,0.7201,0.1651
HAP1,final (guide9),1,50,0.7209,0.1597
HAP1,final (guide9),2,50,0.7142,0.1666
HAP1,final (guide9),3,50,0.7193,0.1627
HAP1,final (guide9),4,50,0.7172,0.1601
HAP1,final (guide9),5,50,0.7149,0.1578
HAP1,final (guide9),6,50,0.711,0.1468
HAP1,final (guide9),7,50,0.7157,0.1641
HAP1,final (guide9),8,50,0.7259,0.1742
HAP1,final (guide9),9,50,0.7168,0.1662
HAP1,final (guide9),10,50,0.7179,0.1604
HAP1,final (guide9),11,50,0.7233,0.155
HAP1,final (guide9),12,50,0.7133,0.1595
HAP1,final (guide9),13,50,0.7193,0.1631
HAP1,final (guide9),14,50,0.7139,0.1583
HAP1,final (guide9),15,50,0.7125,0.1587
HAP1,final (guide9),16,50,0.7147,0.1524
HAP1,final (guide9),17,50,0.72,0.1635
HAP1,final (guide9),18,50,0.7202,0.1604
HAP1,final (guide9),19,50,0.7179,0.1569
HAP1,count only,0,42,0.7253,0.1786
HAP1,count only,1,42,0.7286,0.1792
HAP1,count only,2,42,0.7182,0.1814
HAP1,count only,3,42,0.7248,0.1813
HAP1,count only,4,42,0.7191,0.1711
HAP1,count only,5,42,0.7234,0.1785
HAP1,count only,6,42,0.7175,0.1791
HAP1,count only,7,42,0.7211,0.1731
HAP1,count only,8,42,0.7255,0.1707
HAP1,count only,9,42,0.7183,0.1782
HAP1,count only,10,42,0.7199,0.1789
HAP1,count only,11,42,0.7227,0.1769
HAP1,count only,12,42,0.7285,0.1818
HAP1,count only,13,42,0.7202,0.1781
HAP1,count only,14,42,0.7334,0.1821
HAP1,count only,15,42,0.7156,0.1813
HAP1,count only,16,42,0.7261,0.1816
HAP1,count only,17,42,0.7239,0.1807
HAP1,count only,18,42,0.7219,0.1794
HAP1,count only,19,42,0.7262,0.18
HAP1,sequence only (no count),0,49,0.6561,0.1463
HAP1,sequence only (no count),1,49,0.66,0.1514
HAP1,sequence only (no count),2,49,0.6498,0.1464
HAP1,sequence only (no count),3,49,0.6554,0.1447
HAP1,sequence only (no count),4,49,0.6548,0.141
HAP1,sequence only (no count),5,49,0.658,0.1446
HAP1,sequence only (no count),6,49,0.6592,0.1471
HAP1,sequence only (no count),7,49,0.6646,0.1513
HAP1,sequence only (no count),8,49,0.6427,0.138
HAP1,sequence only (no count),9,49,0.65,0.139
HAP1,sequence only (no count),10,49,0.6569,0.1454
HAP1,sequence only (no count),11,49,0.6559,0.141
HAP1,sequence only (no count),12,49,0.6577,0.1487
HAP1,sequence only (no count),13,49,0.6523,0.1384
HAP1,sequence only (no count),14,49,0.6494,0.1435
HAP1,sequence only (no count),15,49,0.6523,0.1437
HAP1,sequence only (no count),16,49,0.6518,0.1447
HAP1,sequence only (no count),17,49,0.6492,0.1455
HAP1,sequence only (no count),18,49,0.6428,0.1457
HAP1,sequence only (no count),19,49,0.6587,0.1498
HAP1,no guide block,0,41,0.6052,0.1503
HAP1,no guide block,1,41,0.5954,0.1434
HAP1,no guide block,2,41,0.5994,0.1464
HAP1,no guide block,3,41,0.5966,0.1466
HAP1,no guide block,4,41,0.6007,0.1479
HAP1,no guide block,5,41,0.6058,0.147
HAP1,no guide block,6,41,0.6002,0.1486
HAP1,no guide block,7,41,0.6115,0.1503
HAP1,no guide block,8,41,0.5998,0.1517
HAP1,no guide block,9,41,0.6047,0.1535
HAP1,no guide block,10,41,0.6077,0.1494
HAP1,no guide block,11,41,0.6,0.1479
HAP1,no guide block,12,41,0.605,0.1491
