holdout,config,seed,n_features,auroc,auprc
HAP1,base kmer+oh+tpm+g9,0,276,0.7134,0.1647
HAP1,base kmer+oh+tpm+g9,1,276,0.7305,0.1657
HAP1,base kmer+oh+tpm+g9,2,276,0.7321,0.1684
HAP1,+dinuc+pos (g31),0,298,0.7198,0.1629
HAP1,+dinuc+pos (g31),1,298,0.7229,0.1621
HAP1,+dinuc+pos (g31),2,298,0.7313,0.1639
HAP1,+positional (g123),0,390,0.7107,0.1589
HAP1,+positional (g123),1,390,0.7137,0.1636
HAP1,+positional (g123),2,390,0.733,0.1683
HAP1,nokmer g31,0,42,0.7255,0.1611
HAP1,nokmer g31,1,42,0.7286,0.1649
HAP1,nokmer g31,2,42,0.7162,0.1605
HAP1,nokmer g123,0,134,0.7055,0.1529
HAP1,nokmer g123,1,134,0.7138,0.1552
HAP1,nokmer g123,2,134,0.7031,0.1544
K562,base kmer+oh+tpm+g9,0,276,0.6584,0.1423
K562,base kmer+oh+tpm+g9,1,276,0.6583,0.1446
K562,base kmer+oh+tpm+g9,2,276,0.6734,0.1489
K562,+dinuc+pos (g31),0,298,0.6707,0.1468
K562,+dinuc+pos (g31),1,298,0.6624,0.142
K562,+dinuc+pos (g31),2,298,0.6643,0.1457
K562,+positional (g123),0,390,0.671,0.1484
K562,+positional (g123),1,390,0.6557,0.138
K562,+positional (g123),2,390,0.6583,0.1375
K562,nokmer g31,0,42,0.6522,0.1397
K562,nokmer g31,1,42,0.6396,0.1359
K562,nokmer g31,2,42,0.6549,0.1396
K562,nokmer g123,0,134,0.6567,0.1402
K562,nokmer g123,1,134,0.6562,0.1418
K562,nokmer g123,2,134,0.6621,0.143
MDA-MB-231,base kmer+oh+tpm+g9,0,276,0.705,0.0876
MDA-MB-231,base kmer+oh+tpm+g9,1,276,0.7104,0.0926
MDA-MB-231,base kmer+oh+tpm+g9,2,276,0.71,0.0905
MDA-MB-231,+dinuc+pos (g31),0,298,0.6995,0.0853
MDA-MB-231,+dinuc+pos (g31),1,298,0.716,0.0928
MDA-MB-231,+dinuc+pos (g31),2,298,0.6953,0.0818
MDA-MB-231,+positional (g123),0,390,0.6977,0.0854
MDA-MB-231,+positional (g123),1,390,0.6974,0.0877
MDA-MB-231,+positional (g123),2,390,0.6994,0.0846
MDA-MB-231,nokmer g31,0,42,0.7068,0.1016
MDA-MB-231,nokmer g31,1,42,0.6972,0.0993
MDA-MB-231,nokmer g31,2,42,0.7018,0.0947
MDA-MB-231,nokmer g123,0,134,0.6988,0.0898
MDA-MB-231,nokmer g123,1,134,0.7023,0.0917
MDA-MB-231,nokmer g123,2,134,0.6929,0.0826
