batch_size,learning_rate,hidden,auroc,auprc
16,0.0005,64,0.675,0.1632
16,0.0005,128,0.6739,0.1615
16,0.0005,256,0.6901,0.1649
16,0.001,64,0.6732,0.1671
16,0.001,128,0.6775,0.1605
16,0.001,256,0.6773,0.1469
16,0.002,64,0.6822,0.1986
16,0.002,128,0.6845,0.1639
16,0.002,256,0.6365,0.0828
32,0.0005,64,0.6697,0.1569
32,0.0005,128,0.6751,0.159
32,0.0005,256,0.6839,0.1611
32,0.001,64,0.6817,0.1771
32,0.001,128,0.6731,0.162
32,0.001,256,0.6803,0.1647
32,0.002,64,0.6701,0.1825
32,0.002,128,0.684,0.1785
32,0.002,256,0.6514,0.1279
64,0.0005,64,0.6696,0.1523
64,0.0005,128,0.6766,0.1578
64,0.0005,256,0.6723,0.1441
64,0.001,64,0.6722,0.1658
64,0.001,128,0.6776,0.1723
64,0.001,256,0.6804,0.1645
64,0.002,64,0.6782,0.1553
64,0.002,128,0.6726,0.1601
64,0.002,256,0.6735,0.1585
