learning_rate,subsample,colsample_bytree,n_estimators,auroc,auprc
0.005,0.5,0.5,108,0.6782,0.1536
0.005,0.5,0.7,116,0.6757,0.146
0.005,0.5,0.9,188,0.6678,0.1557
0.005,0.7,0.5,98,0.6724,0.1524
0.005,0.7,0.7,100,0.6653,0.1507
0.005,0.7,0.9,197,0.6813,0.1456
0.005,0.9,0.5,70,0.6607,0.1433
0.005,0.9,0.7,69,0.6659,0.1388
0.005,0.9,0.9,118,0.6791,0.1377
0.01,0.5,0.5,46,0.6829,0.1648
0.01,0.5,0.7,70,0.6723,0.1642
0.01,0.5,0.9,97,0.6696,0.1416
0.01,0.7,0.5,42,0.6634,0.1454
0.01,0.7,0.7,101,0.6676,0.1437
0.01,0.7,0.9,85,0.672,0.1494
0.01,0.9,0.5,37,0.6706,0.1465
0.01,0.9,0.7,47,0.6652,0.1367
0.01,0.9,0.9,72,0.6869,0.1415
0.02,0.5,0.5,31,0.6549,0.147
0.02,0.5,0.7,32,0.6443,0.1372
0.02,0.5,0.9,47,0.6402,0.1319
0.02,0.7,0.5,37,0.627,0.1484
0.02,0.7,0.7,41,0.6568,0.1369
0.02,0.7,0.9,41,0.7074,0.1565
0.02,0.9,0.5,30,0.6465,0.1297
0.02,0.9,0.7,18,0.6413,0.1398
0.02,0.9,0.9,56,0.6804,0.1369
0.05,0.5,0.5,26,0.6241,0.1443
0.05,0.5,0.7,24,0.6221,0.1453
0.05,0.5,0.9,43,0.6363,0.1331
0.05,0.7,0.5,40,0.664,0.1531
0.05,0.7,0.7,22,0.6489,0.1304
0.05,0.7,0.9,32,0.6543,0.1379
0.05,0.9,0.5,32,0.6502,0.1205
0.05,0.9,0.7,23,0.6383,0.1406
0.05,0.9,0.9,21,0.6286,0.112
