learning_rate,subsample,colsample_bytree,n_estimators,auroc,auprc
0.005,0.5,0.5,191,0.6287,0.118
0.005,0.5,0.7,70,0.6171,0.1232
0.005,0.5,0.9,164,0.6362,0.1326
0.005,0.7,0.5,64,0.6267,0.1242
0.005,0.7,0.7,152,0.6256,0.1148
0.005,0.7,0.9,241,0.6347,0.1256
0.005,0.9,0.5,33,0.6044,0.1081
0.005,0.9,0.7,87,0.624,0.123
0.005,0.9,0.9,68,0.605,0.1226
0.01,0.5,0.5,34,0.6226,0.1186
0.01,0.5,0.7,48,0.5952,0.109
0.01,0.5,0.9,38,0.625,0.1208
0.01,0.7,0.5,113,0.6374,0.1207
0.01,0.7,0.7,38,0.6139,0.1071
0.01,0.7,0.9,36,0.6102,0.1213
0.01,0.9,0.5,18,0.6427,0.1228
0.01,0.9,0.7,21,0.6218,0.1144
0.01,0.9,0.9,102,0.647,0.1252
0.02,0.5,0.5,65,0.646,0.1291
0.02,0.5,0.7,63,0.6083,0.1266
0.02,0.5,0.9,69,0.6251,0.1329
0.02,0.7,0.5,65,0.6498,0.1161
0.02,0.7,0.7,22,0.5888,0.0983
0.02,0.7,0.9,37,0.6164,0.1159
0.02,0.9,0.5,84,0.627,0.1225
0.02,0.9,0.7,38,0.6384,0.1235
0.02,0.9,0.9,54,0.6437,0.1053
0.05,0.5,0.5,49,0.6091,0.1136
0.05,0.5,0.7,20,0.6206,0.1081
0.05,0.5,0.9,17,0.6204,0.1139
0.05,0.7,0.5,18,0.6024,0.0914
0.05,0.7,0.7,22,0.6051,0.1119
0.05,0.7,0.9,38,0.6168,0.1085
0.05,0.9,0.5,18,0.6215,0.123
0.05,0.9,0.7,29,0.6223,0.099
0.05,0.9,0.9,29,0.6156,0.1057
