learning_rate,subsample,colsample_bytree,n_estimators,auroc,auprc
0.005,0.5,0.5,183,0.668,0.1384
0.005,0.5,0.7,163,0.6584,0.1358
0.005,0.5,0.9,164,0.6453,0.1316
0.005,0.7,0.5,62,0.6383,0.1094
0.005,0.7,0.7,110,0.657,0.1246
0.005,0.7,0.9,171,0.6462,0.1348
0.005,0.9,0.5,68,0.6533,0.1345
0.005,0.9,0.7,150,0.6322,0.1288
0.005,0.9,0.9,228,0.654,0.1275
0.01,0.5,0.5,46,0.6304,0.1179
0.01,0.5,0.7,68,0.6504,0.1259
0.01,0.5,0.9,115,0.649,0.1361
0.01,0.7,0.5,41,0.6242,0.1161
0.01,0.7,0.7,65,0.6361,0.121
0.01,0.7,0.9,72,0.6285,0.1354
0.01,0.9,0.5,31,0.6519,0.1395
0.01,0.9,0.7,42,0.6119,0.1199
0.01,0.9,0.9,97,0.6583,0.126
0.02,0.5,0.5,30,0.6236,0.1091
0.02,0.5,0.7,50,0.6115,0.1155
0.02,0.5,0.9,48,0.6071,0.1059
0.02,0.7,0.5,33,0.6463,0.1255
0.02,0.7,0.7,22,0.6143,0.1247
0.02,0.7,0.9,41,0.6261,0.1339
0.02,0.9,0.5,18,0.629,0.1267
0.02,0.9,0.7,27,0.6107,0.1204
0.02,0.9,0.9,56,0.6516,0.1173
0.05,0.5,0.5,27,0.6428,0.122
0.05,0.5,0.7,18,0.6175,0.1326
0.05,0.5,0.9,18,0.6168,0.1112
0.05,0.7,0.5,18,0.6195,0.1082
0.05,0.7,0.7,22,0.5917,0.1062
0.05,0.7,0.9,25,0.6146,0.104
0.05,0.9,0.5,33,0.656,0.1776
0.05,0.9,0.7,33,0.622,0.1074
0.05,0.9,0.9,31,0.6324,0.1123
