trial,fold,n_val,n_pos_val,auprc,C
0,0,5002,223,0.12063757191765616,0.017670169402947963
0,1,5002,224,0.10062468361274823,0.017670169402947963
0,2,5002,224,0.1310456699843968,0.017670169402947963
0,3,5002,224,0.10433310649718974,0.017670169402947963
0,4,5002,224,0.1486855877674139,0.017670169402947963
1,0,5002,223,0.09389177980161664,50.615768887523046
1,1,5002,224,0.08925572859838635,50.615768887523046
1,2,5002,224,0.09017021218467328,50.615768887523046
1,3,5002,224,0.07821606204726325,50.615768887523046
1,4,5002,224,0.09896590809271572,50.615768887523046
2,0,5002,223,0.11130873078897122,2.4658329458549115
2,1,5002,224,0.09287878084422221,2.4658329458549115
2,2,5002,224,0.1268280945467656,2.4658329458549115
2,3,5002,224,0.09074610734628266,2.4658329458549115
2,4,5002,224,0.13065230387949262,2.4658329458549115
3,0,5002,223,0.12020099441789431,0.39079671568228824
3,1,5002,224,0.09943702497523108,0.39079671568228824
3,2,5002,224,0.13101422518382735,0.39079671568228824
3,3,5002,224,0.10364451802758809,0.39079671568228824
3,4,5002,224,0.14786977517800826,0.39079671568228824
4,0,5002,223,0.12047646727101688,0.0008632008168602552
4,1,5002,224,0.10108233383647333,0.0008632008168602552
4,2,5002,224,0.1302188197420235,0.0008632008168602552
4,3,5002,224,0.10484953905047716,0.0008632008168602552
4,4,5002,224,0.15129934315387245,0.0008632008168602552
5,0,5002,223,0.12047893470556263,0.0008629132190071866
5,1,5002,224,0.10107559855844075,0.0008629132190071866
5,2,5002,224,0.13023473993799778,0.0008629132190071866
5,3,5002,224,0.10485088148956423,0.0008629132190071866
5,4,5002,224,0.15128284974815498,0.0008629132190071866
6,0,5002,223,0.12043094531426268,0.00022310108018679258
6,1,5002,224,0.10110343340159685,0.00022310108018679258
6,2,5002,224,0.12958441322667127,0.00022310108018679258
6,3,5002,224,0.10511430521261036,0.00022310108018679258
6,4,5002,224,0.15144494009274348,0.00022310108018679258
7,0,5002,223,0.10051353160327767,15.741890047456641
7,1,5002,224,0.09331605805920423,15.741890047456641
7,2,5002,224,0.10208391638152271,15.741890047456641
7,3,5002,224,0.08813225863007033,15.741890047456641
7,4,5002,224,0.11336551189263369,15.741890047456641
8,0,5002,223,0.12020585079504995,0.4042872735027334
8,1,5002,224,0.099436759909709,0.4042872735027334
8,2,5002,224,0.13105534852810188,0.4042872735027334
8,3,5002,224,0.10364294751370598,0.4042872735027334
8,4,5002,224,0.14785156137616404,0.4042872735027334
9,0,5002,223,0.11459802427213664,1.7718847354806824
9,1,5002,224,0.09481786658171053,1.7718847354806824
9,2,5002,224,0.12778329282795195,1.7718847354806824
9,3,5002,224,0.09358434804526558,1.7718847354806824
9,4,5002,224,0.13613512137553044,1.7718847354806824
10,0,5002,223,0.12064095757497595,0.007380265896572938
10,1,5002,224,0.10104894387900909,0.007380265896572938
10,2,5002,224,0.1308531272793131,0.007380265896572938
10,3,5002,224,0.10439409743882863,0.007380265896572938
10,4,5002,224,0.14936602248565284,0.007380265896572938
11,0,5002,223,0.12062526035717636,0.0001043343952414723
11,1,5002,224,0.10101427886512566,0.0001043343952414723
11,2,5002,224,0.12960328408798635,0.0001043343952414723
11,3,5002,224,0.10515953288844555,0.0001043343952414723
11,4,5002,224,0.15153607419517967,0.0001043343952414723
12,0,5002,223,0.1206175614682972,0.00011099001648454473
12,1,5002,224,0.10102389719177705,0.00011099001648454473
12,2,5002,224,0.1295285171056155,0.00011099001648454473
12,3,5002,224,0.10548594828165395,0.00011099001648454473
12,4,5002,224,0.15148190897631747,0.00011099001648454473
13,0,5002,223,0.12068502058412275,0.00010763168691776681
13,1,5002,224,0.10098448119397249,0.00010763168691776681
13,2,5002,224,0.12957188660010605,0.00010763168691776681
13,3,5002,224,0.10538993159699142,0.00010763168691776681
13,4,5002,224,0.15151382546286984,0.00010763168691776681
14,0,5002,223,0.12061640067385229,0.005359330465688427
14,1,5002,224,0.10109519490600938,0.005359330465688427
14,2,5002,224,0.1308126977750524,0.005359330465688427
14,3,5002,224,0.10441038952774051,0.005359330465688427
14,4,5002,224,0.1495711203006289,0.005359330465688427
15,0,5002,223,0.12043313809631512,0.0008871292279854956
15,1,5002,224,0.10112272095476074,0.0008871292279854956
15,2,5002,224,0.13023745472359774,0.0008871292279854956
15,3,5002,224,0.10484060448582522,0.0008871292279854956
15,4,5002,224,0.1513365618022804,0.0008871292279854956
16,0,5002,223,0.12065984637753938,0.00011189480584449353
16,1,5002,224,0.10101575494771667,0.00011189480584449353
16,2,5002,224,0.12959867715126458,0.00011189480584449353
16,3,5002,224,0.10551427970145034,0.00011189480584449353
16,4,5002,224,0.1514110433537047,0.00011189480584449353
17,0,5002,223,0.12070076219250775,0.03442635071032753
17,1,5002,224,0.1003054267422114,0.03442635071032753
17,2,5002,224,0.13103898841014905,0.03442635071032753
17,3,5002,224,0.10425145848807002,0.03442635071032753
17,4,5002,224,0.1482082550220633,0.03442635071032753
18,0,5002,223,0.12043272717722439,0.0004915048200570299
18,1,5002,224,0.10119431486969122,0.0004915048200570299
18,2,5002,224,0.12992142918429608,0.0004915048200570299
18,3,5002,224,0.10499202082328443,0.0004915048200570299
18,4,5002,224,0.15123138231954536,0.0004915048200570299
19,0,5002,223,0.12009667156293088,0.0024491265870832456
19,1,5002,224,0.10093295847020423,0.0024491265870832456
19,2,5002,224,0.13049040796671085,0.0024491265870832456
19,3,5002,224,0.10447989120662707,0.0024491265870832456
19,4,5002,224,0.15110827631908857,0.0024491265870832456
20,0,5002,223,0.12070139728522096,0.0380625373440389
20,1,5002,224,0.10027827562054695,0.0380625373440389
20,2,5002,224,0.13101860592123693,0.0380625373440389
20,3,5002,224,0.10421218764176693,0.0380625373440389
20,4,5002,224,0.14837835074394742,0.0380625373440389
21,0,5002,223,0.12061353050146496,0.0001053277226925664
21,1,5002,224,0.10096170251972869,0.0001053277226925664
