run,model,class_weight,k,cv_mean_auprc,cv_std_auprc,test_auroc_overall,test_auprc_overall,auroc_HAP1,auprc_HAP1,auroc_HEK293FT,auprc_HEK293FT,auroc_K562,auprc_K562,auroc_MDA-MB-231,auprc_MDA-MB-231,auroc_THP1,auprc_THP1
logreg_k3_cwoff,logreg,off,3,0.12097542434311162,0.020415541108095896,0.5784,0.1085,0.4116,0.0445,0.5215,0.0501,0.7466,0.2193,0.533,0.1,0.4725,0.0401
logreg_k3_cwon,logreg,on,3,0.12084890809918288,0.020418988652639886,0.5784,0.109,0.4116,0.0445,0.5227,0.0502,0.7466,0.2208,0.5333,0.1,0.4734,0.0402
logreg_k4_cwoff,logreg,off,4,0.1217737577636738,0.02022104575733066,0.5785,0.1091,0.417,0.0446,0.5196,0.0499,0.7478,0.2213,0.5344,0.1,0.4703,0.0398
logreg_k4_cwon,logreg,on,4,0.12183799921204738,0.020332971863892272,0.5786,0.109,0.4172,0.0445,0.5203,0.0499,0.7476,0.2209,0.5349,0.0999,0.4713,0.0398
logreg_k5_cwoff,logreg,off,5,0.1226914748362358,0.019899515495772454,0.579,0.11,0.4281,0.0454,0.5207,0.0499,0.7465,0.2239,0.5388,0.0869,0.4678,0.0395
logreg_k5_cwon,logreg,on,5,0.12215684003058354,0.020108694024005107,0.5798,0.1094,0.4306,0.0456,0.5259,0.0507,0.7462,0.2216,0.5461,0.0927,0.4754,0.0403
logreg_k6_cwon,logreg,on,6,0.12439718015508283,0.01881320920876447,0.5791,0.1102,0.4403,0.0459,0.5229,0.0504,0.7447,0.2246,0.535,0.064,0.4587,0.0387
xgboost_k3_cwoff,xgboost,off,3,0.17270740928025172,0.015425553828364849,0.6623,0.1293,0.5693,0.0919,0.5934,0.1215,0.73,0.2014,0.707,0.1943,0.6258,0.2343
xgboost_k3_cwon,xgboost,on,3,0.17071080144037595,0.012890725239378365,0.6757,0.1262,0.5497,0.0801,0.6326,0.0972,0.7321,0.1913,0.7139,0.1527,0.6623,0.1801
xgboost_k4_cwoff,xgboost,off,4,0.17643578198832272,0.026227347767205967,0.6631,0.1227,0.6259,0.1197,0.58,0.0914,0.723,0.1836,0.6552,0.1835,0.6266,0.1319
xgboost_k4_cwon,xgboost,on,4,0.16598540271514106,0.029188610033999047,0.6577,0.112,0.5226,0.1048,0.6857,0.0998,0.7072,0.1647,0.6916,0.1299,0.6293,0.0939
xgboost_k5_cwoff,xgboost,off,5,0.17173901388800744,0.022114074368167515,0.6628,0.1446,0.5067,0.127,0.5843,0.0901,0.7275,0.2414,0.7245,0.2681,0.6609,0.16
xgboost_k5_cwon,xgboost,on,5,0.1694922313214498,0.023023407295577374,0.6482,0.1268,0.5394,0.0999,0.58,0.0959,0.721,0.23,0.6197,0.1353,0.6664,0.1183
xgboost_k6_cwoff,xgboost,off,6,0.16283771837974154,0.016099011365363423,0.5987,0.1209,0.533,0.0869,0.5326,0.0644,0.7169,0.2418,0.5707,0.0656,0.5037,0.0595
xgboost_k6_cwon,xgboost,on,6,0.15606958332066018,0.016638803259242257,0.5886,0.1406,0.4873,0.0927,0.4618,0.048,0.7122,0.3152,0.6159,0.1055,0.5453,0.0977
