feature_set,model,holdout,seed,n_features,auroc,auprc
with_kmer,xgboost (tuned),HAP1,0,298,0.7248,0.1702
with_kmer,xgboost (tuned),HAP1,1,298,0.7217,0.163
with_kmer,xgboost (tuned),HAP1,2,298,0.7117,0.1577
with_kmer,xgboost (tuned),K562,0,298,0.6709,0.16
with_kmer,xgboost (tuned),K562,1,298,0.6625,0.1537
with_kmer,xgboost (tuned),K562,2,298,0.6586,0.1534
with_kmer,xgboost (tuned),MDA-MB-231,0,298,0.7435,0.1584
with_kmer,xgboost (tuned),MDA-MB-231,1,298,0.7497,0.1548
with_kmer,xgboost (tuned),MDA-MB-231,2,298,0.7487,0.1512
with_kmer,logistic,HAP1,0,298,0.6987,0.0878
with_kmer,logistic,K562,0,298,0.6604,0.142
with_kmer,logistic,MDA-MB-231,0,298,0.7438,0.0765
with_kmer,linear_svm,HAP1,0,298,0.7001,0.0889
with_kmer,linear_svm,K562,0,298,0.6642,0.1439
with_kmer,linear_svm,MDA-MB-231,0,298,0.7454,0.0772
with_kmer,rbf_svm_nystroem,HAP1,0,298,0.6647,0.0968
with_kmer,rbf_svm_nystroem,HAP1,1,298,0.6673,0.1103
with_kmer,rbf_svm_nystroem,HAP1,2,298,0.665,0.1037
with_kmer,rbf_svm_nystroem,K562,0,298,0.6957,0.1396
with_kmer,rbf_svm_nystroem,K562,1,298,0.6916,0.1417
with_kmer,rbf_svm_nystroem,K562,2,298,0.6932,0.1398
with_kmer,rbf_svm_nystroem,MDA-MB-231,0,298,0.6915,0.0726
with_kmer,rbf_svm_nystroem,MDA-MB-231,1,298,0.6966,0.0887
with_kmer,rbf_svm_nystroem,MDA-MB-231,2,298,0.6979,0.0829
with_kmer,knn,HAP1,0,298,0.6455,0.1068
with_kmer,knn,K562,0,298,0.5671,0.1295
with_kmer,knn,MDA-MB-231,0,298,0.6746,0.0945
with_kmer,decision_tree,HAP1,0,298,0.6548,0.0762
with_kmer,decision_tree,K562,0,298,0.6633,0.1091
with_kmer,decision_tree,MDA-MB-231,0,298,0.6722,0.0887
with_kmer,random_forest,HAP1,0,298,0.6604,0.1451
with_kmer,random_forest,HAP1,1,298,0.6599,0.1528
with_kmer,random_forest,HAP1,2,298,0.6588,0.1481
with_kmer,random_forest,K562,0,298,0.6751,0.154
with_kmer,random_forest,K562,1,298,0.6803,0.1563
with_kmer,random_forest,K562,2,298,0.6757,0.1543
with_kmer,random_forest,MDA-MB-231,0,298,0.6905,0.1396
with_kmer,random_forest,MDA-MB-231,1,298,0.6886,0.132
with_kmer,random_forest,MDA-MB-231,2,298,0.6994,0.1358
with_kmer,extra_trees,HAP1,0,298,0.6662,0.1549
with_kmer,extra_trees,HAP1,1,298,0.6701,0.1526
with_kmer,extra_trees,HAP1,2,298,0.6662,0.1629
with_kmer,extra_trees,K562,0,298,0.6877,0.1569
with_kmer,extra_trees,K562,1,298,0.6792,0.1527
with_kmer,extra_trees,K562,2,298,0.6833,0.1535
with_kmer,extra_trees,MDA-MB-231,0,298,0.7045,0.1459
with_kmer,extra_trees,MDA-MB-231,1,298,0.7018,0.1362
with_kmer,extra_trees,MDA-MB-231,2,298,0.7059,0.1405
with_kmer,adaboost,HAP1,0,298,0.7048,0.1316
with_kmer,adaboost,HAP1,1,298,0.7048,0.1316
with_kmer,adaboost,HAP1,2,298,0.7048,0.1316
with_kmer,adaboost,K562,0,298,0.6893,0.1547
with_kmer,adaboost,K562,1,298,0.6893,0.1547
with_kmer,adaboost,K562,2,298,0.6893,0.1547
with_kmer,adaboost,MDA-MB-231,0,298,0.7267,0.1268
with_kmer,adaboost,MDA-MB-231,1,298,0.7267,0.1268
with_kmer,adaboost,MDA-MB-231,2,298,0.7267,0.1268
with_kmer,gaussian_nb,HAP1,0,298,0.5396,0.0463
with_kmer,gaussian_nb,K562,0,298,0.5506,0.0806
with_kmer,gaussian_nb,MDA-MB-231,0,298,0.5368,0.0311
with_kmer,mlp,HAP1,0,298,0.6188,0.0693
with_kmer,mlp,HAP1,1,298,0.6128,0.0897
with_kmer,mlp,HAP1,2,298,0.6646,0.1249
with_kmer,mlp,K562,0,298,0.4592,0.0829
with_kmer,mlp,K562,1,298,0.4519,0.0742
with_kmer,mlp,K562,2,298,0.581,0.1285
with_kmer,mlp,MDA-MB-231,0,298,0.6012,0.039
with_kmer,mlp,MDA-MB-231,1,298,0.5628,0.0369
with_kmer,mlp,MDA-MB-231,2,298,0.6724,0.0673
no_kmer,xgboost (tuned),HAP1,0,42,0.7269,0.1628
no_kmer,xgboost (tuned),HAP1,1,42,0.7204,0.1629
no_kmer,xgboost (tuned),HAP1,2,42,0.7165,0.158
no_kmer,xgboost (tuned),K562,0,42,0.7183,0.1725
no_kmer,xgboost (tuned),K562,1,42,0.7071,0.1704
no_kmer,xgboost (tuned),K562,2,42,0.7174,0.1718
no_kmer,xgboost (tuned),MDA-MB-231,0,42,0.7223,0.1535
no_kmer,xgboost (tuned),MDA-MB-231,1,42,0.7241,0.1499
no_kmer,xgboost (tuned),MDA-MB-231,2,42,0.7177,0.1505
no_kmer,logistic,HAP1,0,42,0.7154,0.107
no_kmer,logistic,K562,0,42,0.7255,0.1734
no_kmer,logistic,MDA-MB-231,0,42,0.7326,0.077
no_kmer,linear_svm,HAP1,0,42,0.7148,0.1071
no_kmer,linear_svm,K562,0,42,0.7269,0.1752
no_kmer,linear_svm,MDA-MB-231,0,42,0.7328,0.077
no_kmer,rbf_svm_nystroem,HAP1,0,42,0.7045,0.1099
no_kmer,rbf_svm_nystroem,HAP1,1,42,0.7059,0.1137
no_kmer,rbf_svm_nystroem,HAP1,2,42,0.704,0.1083
no_kmer,rbf_svm_nystroem,K562,0,42,0.7121,0.1431
no_kmer,rbf_svm_nystroem,K562,1,42,0.7124,0.1468
