holdout,config,seed,n_features,auroc,auprc
HAP1,count only (current best),0,42,0.7253,0.1786
HAP1,count only (current best),1,42,0.7286,0.1792
HAP1,count only (current best),2,42,0.7182,0.1814
HAP1,count only (current best),3,42,0.7248,0.1813
HAP1,count only (current best),4,42,0.7191,0.1711
HAP1,count only (current best),5,42,0.7234,0.1785
HAP1,count only (current best),6,42,0.7175,0.1791
HAP1,count only (current best),7,42,0.7211,0.1731
HAP1,count only (current best),8,42,0.7255,0.1707
HAP1,count only (current best),9,42,0.7183,0.1782
HAP1,count only (current best),10,42,0.7199,0.1789
HAP1,count only (current best),11,42,0.7227,0.1769
HAP1,count only (current best),12,42,0.7285,0.1818
HAP1,count only (current best),13,42,0.7202,0.1781
HAP1,count only (current best),14,42,0.7334,0.1821
HAP1,count only (current best),15,42,0.7156,0.1813
HAP1,count only (current best),16,42,0.7261,0.1816
HAP1,count only (current best),17,42,0.7239,0.1807
HAP1,count only (current best),18,42,0.7219,0.1794
HAP1,count only (current best),19,42,0.7262,0.18
HAP1,minus nb_depmap,0,40,0.7303,0.1792
HAP1,minus nb_depmap,1,40,0.7305,0.181
HAP1,minus nb_depmap,2,40,0.7222,0.1813
HAP1,minus nb_depmap,3,40,0.7285,0.187
HAP1,minus nb_depmap,4,40,0.7303,0.1776
HAP1,minus nb_depmap,5,40,0.7239,0.1738
HAP1,minus nb_depmap,6,40,0.7251,0.1817
HAP1,minus nb_depmap,7,40,0.7277,0.1783
HAP1,minus nb_depmap,8,40,0.7257,0.1747
HAP1,minus nb_depmap,9,40,0.7229,0.1817
HAP1,minus nb_depmap,10,40,0.7254,0.1754
HAP1,minus nb_depmap,11,40,0.7256,0.1794
HAP1,minus nb_depmap,12,40,0.7294,0.1783
HAP1,minus nb_depmap,13,40,0.7262,0.1782
HAP1,minus nb_depmap,14,40,0.734,0.1842
HAP1,minus nb_depmap,15,40,0.7308,0.1786
HAP1,minus nb_depmap,16,40,0.7258,0.1829
HAP1,minus nb_depmap,17,40,0.7254,0.1812
HAP1,minus nb_depmap,18,40,0.7299,0.1798
HAP1,minus nb_depmap,19,40,0.7247,0.1755
K562,count only (current best),0,42,0.6894,0.1607
K562,count only (current best),1,42,0.6889,0.1614
K562,count only (current best),2,42,0.6957,0.1644
K562,count only (current best),3,42,0.6913,0.1625
K562,count only (current best),4,42,0.6961,0.1672
K562,count only (current best),5,42,0.6954,0.1678
K562,count only (current best),6,42,0.6967,0.164
K562,count only (current best),7,42,0.69,0.1648
K562,count only (current best),8,42,0.6898,0.1599
K562,count only (current best),9,42,0.6933,0.1629
K562,count only (current best),10,42,0.692,0.1609
