holdout,config,seed,n_features,auroc,auprc
HAP1,kmer+onehot+tpm,0,267,0.6493,0.1542
HAP1,kmer+onehot+tpm,1,267,0.6581,0.1538
HAP1,kmer+onehot+tpm,2,267,0.6698,0.1577
HAP1,+s1a+guide,0,298,0.712,0.1622
HAP1,+s1a+guide,1,298,0.7184,0.1647
HAP1,+s1a+guide,2,298,0.7256,0.165
HAP1,nokmer onehot+tpm+guide,0,20,0.7215,0.1599
HAP1,nokmer onehot+tpm+guide,1,20,0.7287,0.1608
HAP1,nokmer onehot+tpm+guide,2,20,0.7238,0.1597
HAP1,nokmer +s1a,0,42,0.7316,0.1642
HAP1,nokmer +s1a,1,42,0.729,0.1633
HAP1,nokmer +s1a,2,42,0.7309,0.1622
HAP1,nokmer tpm+guide,0,15,0.71,0.1362
HAP1,nokmer tpm+guide,1,15,0.7155,0.1382
HAP1,nokmer tpm+guide,2,15,0.7108,0.1399
HAP1,s1a+guide only,0,31,0.702,0.1325
HAP1,s1a+guide only,1,31,0.7133,0.1351
HAP1,s1a+guide only,2,31,0.7104,0.128
K562,kmer+onehot+tpm,0,267,0.6149,0.1307
K562,kmer+onehot+tpm,1,267,0.594,0.1265
K562,kmer+onehot+tpm,2,267,0.6076,0.1296
K562,+s1a+guide,0,298,0.672,0.1479
K562,+s1a+guide,1,298,0.6752,0.1482
K562,+s1a+guide,2,298,0.6758,0.1416
K562,nokmer onehot+tpm+guide,0,20,0.6806,0.1443
K562,nokmer onehot+tpm+guide,1,20,0.6939,0.1512
K562,nokmer onehot+tpm+guide,2,20,0.6753,0.1449
K562,nokmer +s1a,0,42,0.679,0.1491
K562,nokmer +s1a,1,42,0.6865,0.1494
K562,nokmer +s1a,2,42,0.6872,0.1523
K562,nokmer tpm+guide,0,15,0.6738,0.142
K562,nokmer tpm+guide,1,15,0.6879,0.1474
K562,nokmer tpm+guide,2,15,0.6754,0.1407
K562,s1a+guide only,0,31,0.6814,0.1527
K562,s1a+guide only,1,31,0.6734,0.1392
K562,s1a+guide only,2,31,0.6784,0.1486
MDA-MB-231,kmer+onehot+tpm,0,267,0.6643,0.0814
MDA-MB-231,kmer+onehot+tpm,1,267,0.6584,0.0807
MDA-MB-231,kmer+onehot+tpm,2,267,0.6628,0.0787
MDA-MB-231,+s1a+guide,0,298,0.718,0.0897
MDA-MB-231,+s1a+guide,1,298,0.7181,0.0952
MDA-MB-231,+s1a+guide,2,298,0.7052,0.0919
MDA-MB-231,nokmer onehot+tpm+guide,0,20,0.6919,0.1086
MDA-MB-231,nokmer onehot+tpm+guide,1,20,0.6899,0.0959
MDA-MB-231,nokmer onehot+tpm+guide,2,20,0.6856,0.1071
MDA-MB-231,nokmer +s1a,0,42,0.6896,0.098
MDA-MB-231,nokmer +s1a,1,42,0.6929,0.0948
MDA-MB-231,nokmer +s1a,2,42,0.6957,0.0931
MDA-MB-231,nokmer tpm+guide,0,15,0.703,0.1116
MDA-MB-231,nokmer tpm+guide,1,15,0.7065,0.1141
MDA-MB-231,nokmer tpm+guide,2,15,0.7118,0.1111
MDA-MB-231,s1a+guide only,0,31,0.698,0.1014
MDA-MB-231,s1a+guide only,1,31,0.7016,0.1044
MDA-MB-231,s1a+guide only,2,31,0.6996,0.1019
