holdout,config,seed,n_features,auroc,auprc
HAP1,kmer+onehot+tpm,0,267,0.6493,0.1542
HAP1,kmer+onehot+tpm,1,267,0.6581,0.1538
HAP1,kmer+onehot+tpm,2,267,0.6698,0.1577
HAP1,+s1a,0,289,0.6501,0.1524
HAP1,+s1a,1,289,0.635,0.1503
HAP1,+s1a,2,289,0.6475,0.1518
HAP1,+guide,0,276,0.7134,0.1647
HAP1,+guide,1,276,0.7305,0.1657
HAP1,+guide,2,276,0.7321,0.1684
HAP1,+s1a+guide,0,298,0.712,0.1622
HAP1,+s1a+guide,1,298,0.7184,0.1647
HAP1,+s1a+guide,2,298,0.7256,0.165
HAP1,+s1a+guide+ext,0,301,0.722,0.1638
HAP1,+s1a+guide+ext,1,301,0.7185,0.1641
HAP1,+s1a+guide+ext,2,301,0.7314,0.1686
HAP1,s1a+guide only,0,31,0.702,0.1325
HAP1,s1a+guide only,1,31,0.7133,0.1351
HAP1,s1a+guide only,2,31,0.7104,0.128
K562,kmer+onehot+tpm,0,267,0.6149,0.1307
K562,kmer+onehot+tpm,1,267,0.594,0.1265
K562,kmer+onehot+tpm,2,267,0.6076,0.1296
K562,+s1a,0,289,0.6009,0.1275
K562,+s1a,1,289,0.6037,0.1295
K562,+s1a,2,289,0.6074,0.1315
K562,+guide,0,276,0.6584,0.1423
K562,+guide,1,276,0.6583,0.1446
K562,+guide,2,276,0.6734,0.1489
K562,+s1a+guide,0,298,0.672,0.1479
K562,+s1a+guide,1,298,0.6752,0.1482
K562,+s1a+guide,2,298,0.6758,0.1416
K562,+s1a+guide+ext,0,301,0.6596,0.1474
K562,+s1a+guide+ext,1,301,0.6656,0.1415
K562,+s1a+guide+ext,2,301,0.6764,0.1484
K562,s1a+guide only,0,31,0.6814,0.1527
K562,s1a+guide only,1,31,0.6734,0.1392
K562,s1a+guide only,2,31,0.6784,0.1486
MDA-MB-231,kmer+onehot+tpm,0,267,0.6643,0.0814
MDA-MB-231,kmer+onehot+tpm,1,267,0.6584,0.0807
MDA-MB-231,kmer+onehot+tpm,2,267,0.6628,0.0787
MDA-MB-231,+s1a,0,289,0.6488,0.0824
MDA-MB-231,+s1a,1,289,0.6629,0.0834
MDA-MB-231,+s1a,2,289,0.645,0.0816
MDA-MB-231,+guide,0,276,0.705,0.0876
MDA-MB-231,+guide,1,276,0.7104,0.0926
MDA-MB-231,+guide,2,276,0.71,0.0905
MDA-MB-231,+s1a+guide,0,298,0.718,0.0897
MDA-MB-231,+s1a+guide,1,298,0.7181,0.0952
MDA-MB-231,+s1a+guide,2,298,0.7052,0.0919
MDA-MB-231,+s1a+guide+ext,0,301,0.7058,0.0919
MDA-MB-231,+s1a+guide+ext,1,301,0.7165,0.0888
MDA-MB-231,+s1a+guide+ext,2,301,0.7108,0.0879
MDA-MB-231,s1a+guide only,0,31,0.698,0.1014
MDA-MB-231,s1a+guide only,1,31,0.7016,0.1044
MDA-MB-231,s1a+guide only,2,31,0.6996,0.1019
