part,source,target,weight,seed,auprc,auroc
single_source,HAP1,K562,1.0,0,0.1603,
single_source,HAP1,K562,1.0,1,0.1616,
single_source,HAP1,K562,1.0,2,0.1584,
single_source,HAP1,K562,1.0,3,0.1603,
single_source,HAP1,K562,1.0,4,0.1625,
single_source,HAP1,K562,1.0,5,0.1608,
single_source,HAP1,K562,1.0,6,0.1599,
single_source,HAP1,K562,1.0,7,0.1601,
single_source,HAP1,K562,1.0,8,0.1578,
single_source,HAP1,K562,1.0,9,0.1599,
single_source,HAP1,K562,1.0,10,0.1613,
single_source,HAP1,K562,1.0,11,0.1597,
single_source,HAP1,K562,1.0,12,0.1621,
single_source,HAP1,K562,1.0,13,0.1606,
single_source,HAP1,K562,1.0,14,0.158,
single_source,HAP1,K562,1.0,15,0.16,
single_source,HAP1,K562,1.0,16,0.1603,
single_source,HAP1,K562,1.0,17,0.16,
single_source,HAP1,K562,1.0,18,0.1615,
single_source,HAP1,K562,1.0,19,0.1569,
single_source,HAP1,MDA-MB-231,1.0,0,0.1695,
single_source,HAP1,MDA-MB-231,1.0,1,0.171,
single_source,HAP1,MDA-MB-231,1.0,2,0.1582,
single_source,HAP1,MDA-MB-231,1.0,3,0.1589,
single_source,HAP1,MDA-MB-231,1.0,4,0.1701,
single_source,HAP1,MDA-MB-231,1.0,5,0.1743,
single_source,HAP1,MDA-MB-231,1.0,6,0.1732,
single_source,HAP1,MDA-MB-231,1.0,7,0.1665,
single_source,HAP1,MDA-MB-231,1.0,8,0.1617,
single_source,HAP1,MDA-MB-231,1.0,9,0.1684,
single_source,HAP1,MDA-MB-231,1.0,10,0.1702,
single_source,HAP1,MDA-MB-231,1.0,11,0.1762,
single_source,HAP1,MDA-MB-231,1.0,12,0.1696,
single_source,HAP1,MDA-MB-231,1.0,13,0.1691,
single_source,HAP1,MDA-MB-231,1.0,14,0.1613,
single_source,HAP1,MDA-MB-231,1.0,15,0.1702,
single_source,HAP1,MDA-MB-231,1.0,16,0.1708,
single_source,HAP1,MDA-MB-231,1.0,17,0.1664,
single_source,HAP1,MDA-MB-231,1.0,18,0.1705,
single_source,HAP1,MDA-MB-231,1.0,19,0.1697,
single_source,K562,HAP1,1.0,0,0.1358,
single_source,K562,HAP1,1.0,1,0.1471,
single_source,K562,HAP1,1.0,2,0.1454,
single_source,K562,HAP1,1.0,3,0.1398,
single_source,K562,HAP1,1.0,4,0.1455,
single_source,K562,HAP1,1.0,5,0.1473,
single_source,K562,HAP1,1.0,6,0.154,
single_source,K562,HAP1,1.0,7,0.1488,
single_source,K562,HAP1,1.0,8,0.1468,
single_source,K562,HAP1,1.0,9,0.1439,
single_source,K562,HAP1,1.0,10,0.1468,
single_source,K562,HAP1,1.0,11,0.1462,
single_source,K562,HAP1,1.0,12,0.1492,
single_source,K562,HAP1,1.0,13,0.1489,
single_source,K562,HAP1,1.0,14,0.1344,
single_source,K562,HAP1,1.0,15,0.1444,
single_source,K562,HAP1,1.0,16,0.1424,
single_source,K562,HAP1,1.0,17,0.1471,
single_source,K562,HAP1,1.0,18,0.1442,
single_source,K562,HAP1,1.0,19,0.1466,
single_source,K562,MDA-MB-231,1.0,0,0.1328,
single_source,K562,MDA-MB-231,1.0,1,0.1288,
single_source,K562,MDA-MB-231,1.0,2,0.1312,
single_source,K562,MDA-MB-231,1.0,3,0.1296,
single_source,K562,MDA-MB-231,1.0,4,0.1311,
single_source,K562,MDA-MB-231,1.0,5,0.1348,
single_source,K562,MDA-MB-231,1.0,6,0.1325,
single_source,K562,MDA-MB-231,1.0,7,0.1397,
single_source,K562,MDA-MB-231,1.0,8,0.1289,
single_source,K562,MDA-MB-231,1.0,9,0.1291,
single_source,K562,MDA-MB-231,1.0,10,0.1314,
single_source,K562,MDA-MB-231,1.0,11,0.1313,
single_source,K562,MDA-MB-231,1.0,12,0.1308,
single_source,K562,MDA-MB-231,1.0,13,0.134,
single_source,K562,MDA-MB-231,1.0,14,0.1272,
single_source,K562,MDA-MB-231,1.0,15,0.1329,
