holdout,config,seed,n_features,auroc,auprc
HAP1,base (no neighbour),0,34,0.7265,0.1695
HAP1,base (no neighbour),1,34,0.7236,0.159
HAP1,base (no neighbour),2,34,0.7228,0.1565
HAP1,base (no neighbour),3,34,0.7299,0.1688
HAP1,base (no neighbour),4,34,0.722,0.1629
HAP1,base (no neighbour),5,34,0.7239,0.163
HAP1,base (no neighbour),6,34,0.7129,0.1411
HAP1,base (no neighbour),7,34,0.7312,0.1693
HAP1,base (no neighbour),8,34,0.7165,0.1456
HAP1,base (no neighbour),9,34,0.7188,0.1504
HAP1,base (no neighbour),10,34,0.7132,0.1595
HAP1,base (no neighbour),11,34,0.7252,0.1636
HAP1,base (no neighbour),12,34,0.7266,0.1678
HAP1,base (no neighbour),13,34,0.7201,0.1615
HAP1,base (no neighbour),14,34,0.7258,0.1637
HAP1,base (no neighbour),15,34,0.7179,0.1559
HAP1,base (no neighbour),16,34,0.7231,0.1627
HAP1,base (no neighbour),17,34,0.7276,0.164
HAP1,base (no neighbour),18,34,0.7165,0.1545
HAP1,base (no neighbour),19,34,0.7192,0.161
HAP1,+ nb_dist,0,36,0.7254,0.1718
HAP1,+ nb_dist,1,36,0.7194,0.1556
HAP1,+ nb_dist,2,36,0.7169,0.1551
HAP1,+ nb_dist,3,36,0.7299,0.1707
HAP1,+ nb_dist,4,36,0.7256,0.1702
HAP1,+ nb_dist,5,36,0.7189,0.1595
HAP1,+ nb_dist,6,36,0.7103,0.1469
HAP1,+ nb_dist,7,36,0.7265,0.1671
HAP1,+ nb_dist,8,36,0.717,0.154
HAP1,+ nb_dist,9,36,0.7125,0.1521
HAP1,+ nb_dist,10,36,0.7144,0.1652
HAP1,+ nb_dist,11,36,0.7174,0.1653
HAP1,+ nb_dist,12,36,0.7284,0.1701
HAP1,+ nb_dist,13,36,0.7211,0.1651
HAP1,+ nb_dist,14,36,0.7208,0.1636
HAP1,+ nb_dist,15,36,0.7148,0.1608
HAP1,+ nb_dist,16,36,0.7193,0.161
HAP1,+ nb_dist,17,36,0.7263,0.1657
HAP1,+ nb_dist,18,36,0.715,0.1556
HAP1,+ nb_dist,19,36,0.7133,0.1589
HAP1,+ nb_class,0,41,0.7149,0.1682
HAP1,+ nb_class,1,41,0.7228,0.1608
HAP1,+ nb_class,2,41,0.7178,0.1552
HAP1,+ nb_class,3,41,0.7097,0.1466
HAP1,+ nb_class,4,41,0.7205,0.155
HAP1,+ nb_class,5,41,0.7261,0.1649
HAP1,+ nb_class,6,41,0.7231,0.1674
HAP1,+ nb_class,7,41,0.7169,0.1594
HAP1,+ nb_class,8,41,0.7167,0.1611
HAP1,+ nb_class,9,41,0.7157,0.1531
HAP1,+ nb_class,10,41,0.7251,0.1619
HAP1,+ nb_class,11,41,0.7111,0.1497
HAP1,+ nb_class,12,41,0.7228,0.1607
HAP1,+ nb_class,13,41,0.7222,0.1603
HAP1,+ nb_class,14,41,0.7161,0.161
HAP1,+ nb_class,15,41,0.7153,0.1554
HAP1,+ nb_class,16,41,0.7176,0.1582
HAP1,+ nb_class,17,41,0.7227,0.167
HAP1,+ nb_class,18,41,0.7136,0.1601
HAP1,+ nb_class,19,41,0.718,0.1625
HAP1,+ nb_depmap,0,36,0.7255,0.1716
HAP1,+ nb_depmap,1,36,0.7175,0.1574
HAP1,+ nb_depmap,2,36,0.7138,0.1556
HAP1,+ nb_depmap,3,36,0.7257,0.1722
HAP1,+ nb_depmap,4,36,0.7243,0.1688
HAP1,+ nb_depmap,5,36,0.7158,0.1597
HAP1,+ nb_depmap,6,36,0.71,0.147
HAP1,+ nb_depmap,7,36,0.726,0.1682
HAP1,+ nb_depmap,8,36,0.7172,0.1526
HAP1,+ nb_depmap,9,36,0.7123,0.1524
HAP1,+ nb_depmap,10,36,0.7118,0.1643
HAP1,+ nb_depmap,11,36,0.7159,0.1613
HAP1,+ nb_depmap,12,36,0.7265,0.1714
HAP1,+ nb_depmap,13,36,0.7214,0.1622
HAP1,+ nb_depmap,14,36,0.7205,0.1631
HAP1,+ nb_depmap,15,36,0.7126,0.1588
HAP1,+ nb_depmap,16,36,0.7197,0.1615
HAP1,+ nb_depmap,17,36,0.7225,0.1651
HAP1,+ nb_depmap,18,36,0.7105,0.1545
HAP1,+ nb_depmap,19,36,0.713,0.1603
HAP1,+ nb_expr,0,39,0.7167,0.1578
HAP1,+ nb_expr,1,39,0.7264,0.1619
HAP1,+ nb_expr,2,39,0.7229,0.1538
HAP1,+ nb_expr,3,39,0.7103,0.1483
HAP1,+ nb_expr,4,39,0.7238,0.1571
HAP1,+ nb_expr,5,39,0.7239,0.1565
HAP1,+ nb_expr,6,39,0.7281,0.167
HAP1,+ nb_expr,7,39,0.7212,0.1557
HAP1,+ nb_expr,8,39,0.7207,0.1594
HAP1,+ nb_expr,9,39,0.7171,0.149
HAP1,+ nb_expr,10,39,0.7322,0.1658
HAP1,+ nb_expr,11,39,0.7204,0.158
HAP1,+ nb_expr,12,39,0.7227,0.1597
HAP1,+ nb_expr,13,39,0.7259,0.1596
HAP1,+ nb_expr,14,39,0.7211,0.1599
HAP1,+ nb_expr,15,39,0.7127,0.1472
HAP1,+ nb_expr,16,39,0.7199,0.1668
HAP1,+ nb_expr,17,39,0.7239,0.1654
HAP1,+ nb_expr,18,39,0.7157,0.1555
HAP1,+ nb_expr,19,39,0.7221,0.1631
HAP1,+ all neighbour,0,50,0.7175,0.1643
HAP1,+ all neighbour,1,50,0.7228,0.167
HAP1,+ all neighbour,2,50,0.7156,0.1624
HAP1,+ all neighbour,3,50,0.7136,0.1655
HAP1,+ all neighbour,4,50,0.7197,0.168
HAP1,+ all neighbour,5,50,0.7138,0.1556
HAP1,+ all neighbour,6,50,0.7146,0.1575
HAP1,+ all neighbour,7,50,0.7201,0.1655
HAP1,+ all neighbour,8,50,0.7207,0.1656
HAP1,+ all neighbour,9,50,0.7145,0.1581
HAP1,+ all neighbour,10,50,0.721,0.1661
HAP1,+ all neighbour,11,50,0.7163,0.1607
HAP1,+ all neighbour,12,50,0.7156,0.164
HAP1,+ all neighbour,13,50,0.7183,0.169
HAP1,+ all neighbour,14,50,0.7258,0.1723
HAP1,+ all neighbour,15,50,0.714,0.1579
HAP1,+ all neighbour,16,50,0.7205,0.1621
HAP1,+ all neighbour,17,50,0.7191,0.1665
HAP1,+ all neighbour,18,50,0.7159,0.1624
HAP1,+ all neighbour,19,50,0.7108,0.1605
HAP1,neighbour only,0,21,0.5589,0.0761
HAP1,neighbour only,1,21,0.5648,0.0746
HAP1,neighbour only,2,21,0.5675,0.0753
HAP1,neighbour only,3,21,0.559,0.0727
HAP1,neighbour only,4,21,0.5582,0.0809
HAP1,neighbour only,5,21,0.56,0.0718
HAP1,neighbour only,6,21,0.5665,0.077
HAP1,neighbour only,7,21,0.5623,0.0721
HAP1,neighbour only,8,21,0.5633,0.0724
HAP1,neighbour only,9,21,0.5511,0.0748
HAP1,neighbour only,10,21,0.5589,0.0752
HAP1,neighbour only,11,21,0.56,0.0707
HAP1,neighbour only,12,21,0.5606,0.0809
HAP1,neighbour only,13,21,0.5565,0.076
HAP1,neighbour only,14,21,0.5519,0.0736
HAP1,neighbour only,15,21,0.5583,0.071
HAP1,neighbour only,16,21,0.5585,0.0734
HAP1,neighbour only,17,21,0.5536,0.0679
HAP1,neighbour only,18,21,0.5607,0.0785
HAP1,neighbour only,19,21,0.565,0.0768
HAP1,base + tissues,0,41,0.7126,0.1637
HAP1,base + tissues,1,41,0.7219,0.1579
HAP1,base + tissues,2,41,0.7205,0.1558
HAP1,base + tissues,3,41,0.7098,0.1447
HAP1,base + tissues,4,41,0.7199,0.1615
HAP1,base + tissues,5,41,0.7235,0.1615
HAP1,base + tissues,6,41,0.7226,0.1623
HAP1,base + tissues,7,41,0.7182,0.1586
HAP1,base + tissues,8,41,0.7145,0.1616
HAP1,base + tissues,9,41,0.7176,0.1546
HAP1,base + tissues,10,41,0.7248,0.1618
HAP1,base + tissues,11,41,0.7135,0.1514
HAP1,base + tissues,12,41,0.7209,0.1566
HAP1,base + tissues,13,41,0.7216,0.1593
HAP1,base + tissues,14,41,0.7189,0.163
HAP1,base + tissues,15,41,0.7147,0.1525
HAP1,base + tissues,16,41,0.7151,0.1564
HAP1,base + tissues,17,41,0.7253,0.1657
HAP1,base + tissues,18,41,0.7135,0.1552
HAP1,base + tissues,19,41,0.7192,0.1643
HAP1,+ all neighbour + tissues,0,57,0.7118,0.1548
HAP1,+ all neighbour + tissues,1,57,0.7132,0.1593
HAP1,+ all neighbour + tissues,2,57,0.7145,0.1616
HAP1,+ all neighbour + tissues,3,57,0.7123,0.1576
HAP1,+ all neighbour + tissues,4,57,0.7136,0.1641
HAP1,+ all neighbour + tissues,5,57,0.7217,0.1652
HAP1,+ all neighbour + tissues,6,57,0.7205,0.1669
HAP1,+ all neighbour + tissues,7,57,0.7208,0.1748
HAP1,+ all neighbour + tissues,8,57,0.7167,0.1638
HAP1,+ all neighbour + tissues,9,57,0.7122,0.1574
HAP1,+ all neighbour + tissues,10,57,0.7218,0.1658
HAP1,+ all neighbour + tissues,11,57,0.712,0.1508
