holdout,config,seed,n_features,auroc,auprc
HAP1,kmer+onehot,0,261,0.6407,0.1449
HAP1,kmer+onehot,1,261,0.64,0.1368
HAP1,kmer+onehot,2,261,0.6447,0.1371
HAP1,kmer+onehot+tpm,0,267,0.6493,0.1542
HAP1,kmer+onehot+tpm,1,267,0.6581,0.1538
HAP1,kmer+onehot+tpm,2,267,0.6698,0.1577
HAP1,kmer+tpm,0,262,0.6216,0.1135
HAP1,kmer+tpm,1,262,0.6199,0.1141
HAP1,kmer+tpm,2,262,0.6286,0.1134
HAP1,onehot+tpm,0,11,0.5251,0.0785
HAP1,onehot+tpm,1,11,0.5163,0.0791
HAP1,onehot+tpm,2,11,0.5171,0.0779
HAP1,tpm_only,0,6,0.5234,0.0795
HAP1,tpm_only,1,6,0.5273,0.0808
HAP1,tpm_only,2,6,0.5336,0.0815
K562,kmer+onehot,0,261,0.5812,0.1163
K562,kmer+onehot,1,261,0.5742,0.1286
K562,kmer+onehot,2,261,0.5675,0.1204
K562,kmer+onehot+tpm,0,267,0.6149,0.1307
K562,kmer+onehot+tpm,1,267,0.594,0.1265
K562,kmer+onehot+tpm,2,267,0.6076,0.1296
K562,kmer+tpm,0,262,0.548,0.1073
K562,kmer+tpm,1,262,0.5293,0.1062
K562,kmer+tpm,2,262,0.5354,0.1079
K562,onehot+tpm,0,11,0.4847,0.0821
K562,onehot+tpm,1,11,0.4856,0.0827
K562,onehot+tpm,2,11,0.4774,0.0804
K562,tpm_only,0,6,0.4948,0.0861
K562,tpm_only,1,6,0.492,0.0859
K562,tpm_only,2,6,0.4971,0.0853
MDA-MB-231,kmer+onehot,0,261,0.6451,0.0788
MDA-MB-231,kmer+onehot,1,261,0.65,0.0725
MDA-MB-231,kmer+onehot,2,261,0.6591,0.08
MDA-MB-231,kmer+onehot+tpm,0,267,0.6643,0.0814
MDA-MB-231,kmer+onehot+tpm,1,267,0.6584,0.0807
MDA-MB-231,kmer+onehot+tpm,2,267,0.6628,0.0787
MDA-MB-231,kmer+tpm,0,262,0.6687,0.0878
MDA-MB-231,kmer+tpm,1,262,0.6785,0.0947
MDA-MB-231,kmer+tpm,2,262,0.6887,0.0913
MDA-MB-231,onehot+tpm,0,11,0.4928,0.0701
MDA-MB-231,onehot+tpm,1,11,0.4804,0.0685
MDA-MB-231,onehot+tpm,2,11,0.4928,0.072
MDA-MB-231,tpm_only,0,6,0.4952,0.0616
MDA-MB-231,tpm_only,1,6,0.4986,0.0693
MDA-MB-231,tpm_only,2,6,0.4992,0.0741
