trial,chromosome,n_val,spearman_rho,best_n_estimators,pruned
0,2,62104,0.17266644053147973,162,false
0,3,43116,0.16598719209588755,196,false
0,4,41448,0.18441472314714125,119,false
0,5,41200,0.16980894363914775,200,false
0,6,45488,0.1697689741568999,198,false
0,7,36816,0.18574841274167464,177,false
0,8,32904,0.1563390006062415,222,false
0,9,29048,0.1711390911711907,105,false
0,X,11156,0.15717659487634006,420,false
0,Y,1000,0.19154937003972483,223,false
0,10,31808,0.1742045697660997,207,false
0,11,36908,0.1640523142767535,193,false
0,12,39700,0.17679549957518179,236,false
0,13,22392,0.17006944505139077,242,false
0,14,25976,0.1673974029704843,229,false
0,15,27880,0.16737564623969262,227,false
0,16,27972,0.16831852302001285,215,false
0,17,35444,0.1667725601425156,208,false
0,18,18180,0.1646256177767708,225,false
0,19,33552,0.1527406358785303,209,false
0,20,21792,0.16402355531724522,206,false
0,21,11324,0.1790352156664753,184,false
0,22,16664,0.16707577874289078,200,false
1,2,62104,0.16057944344495925,43,false
1,3,43116,0.160372442928631,43,false
1,4,41448,0.17449592592849358,32,false
1,5,41200,0.164303296272036,43,false
1,6,45488,0.16513397100938723,37,false
1,7,36816,0.18131455812271297,37,false
1,8,32904,0.15107613875109918,42,false
1,9,29048,0.17063099018905922,44,false
1,X,11156,0.16945564778637898,58,false
1,Y,1000,0.18329979425410922,43,false
1,10,31808,0.1720385208796365,49,false
1,11,36908,0.15578522511878096,39,false
1,12,39700,0.17035429075105943,47,false
1,13,22392,0.16024698406583654,43,false
1,14,25976,0.15960234032763912,36,false
1,15,27880,0.15993574073885902,39,false
1,16,27972,0.1537527873314826,44,false
1,17,35444,0.15654124285181603,61,false
1,18,18180,0.15761285585759746,40,false
1,19,33552,0.1367560562819904,91,false
1,20,21792,0.1579502614941364,48,false
1,21,11324,0.16734954029336518,36,false
1,22,16664,0.16157466309953697,36,false
2,2,62104,0.1502534785346104,650,false
2,3,43116,0.14134499086328914,748,false
2,4,41448,0.16813109063430054,669,false
2,5,41200,0.15102803512953172,623,false
2,6,45488,0.15669126513754456,1227,false
2,7,36816,0.16249790887211651,715,false
2,8,32904,0.13430501871880163,841,false
2,9,29048,0.14153629888606423,362,false
2,X,11156,0.14967942165492146,1197,false
2,Y,1000,0.17400250643165915,1440,false
2,10,31808,0.15615671427070937,1042,false
2,11,36908,0.13617856339851248,584,false
2,12,39700,0.15624684844873185,1540,false
2,13,22392,0.15030871127892814,1564,false
2,14,25976,0.1333160771135017,675,false
2,15,27880,0.14400734989961214,1012,false
2,16,27972,0.13130299987405641,478,false
2,17,35444,0.14765157517484517,1685,false
2,18,18180,0.15107007964891464,701,false
2,19,33552,0.11134976629013915,2262,false
2,20,21792,0.13172780638716536,539,false
2,21,11324,0.13318853498356803,350,false
2,22,16664,0.13974825930896684,2594,false
3,2,62104,0.157346348791645,690,false
3,3,43116,0.14950526817605214,667,false
3,4,41448,0.17215762578983715,497,false
3,5,41200,0.15835641504803688,534,false
3,6,45488,0.16308484638934712,1094,false
3,7,36816,0.16917161887195534,587,false
3,8,32904,0.141470274655903,946,false
3,9,29048,0.14884774643343118,386,false
3,X,11156,0.15524673424269828,1191,false
3,Y,1000,0.17791816951870906,1054,false
3,10,31808,0.1627015577236542,1399,false
3,11,36908,0.14703363549393728,768,false
3,12,39700,0.1625463984965639,884,false
3,13,22392,0.1573107251794897,1418,false
3,14,25976,0.14439379396810942,672,false
3,15,27880,0.14938787945992152,637,false
3,16,27972,0.14240193154632216,572,false
3,17,35444,0.15476133218817958,1088,false
3,18,18180,0.1569325231885034,594,false
3,19,33552,0.11855344269522945,907,false
3,20,21792,0.1424892750417605,539,false
3,21,11324,0.14505824657978472,442,false
3,22,16664,0.14566708683095836,1687,false
