trial,chromosome,n_val,spearman_rho,best_n_estimators,pruned
0,2,62104,0.12827826279909532,125,false
0,3,43116,0.12593277537838002,125,false
0,4,41448,0.13295689280106168,132,false
0,5,41200,0.12994908784226222,117,false
0,6,45488,0.1258304952862558,102,false
0,7,36816,0.13406825688489518,133,false
0,8,32904,0.11720274735282525,118,false
0,9,29048,0.1279441759643749,126,false
0,X,11156,0.10021019185233417,296,false
0,Y,1000,0.1819626823588127,119,false
0,10,31808,0.12434217601307414,105,false
0,11,36908,0.10467439139905758,101,false
0,12,39700,0.12991219223277953,131,false
0,13,22392,0.11328315755727034,123,false
0,14,25976,0.10304817846131645,102,false
0,15,27880,0.11964697576904189,93,false
0,16,27972,0.10277013647920454,127,false
0,17,35444,0.12752823382448328,105,false
0,18,18180,0.12327438521040283,70,false
0,19,33552,0.09114365455082556,207,false
0,20,21792,0.12042660766691853,122,false
0,21,11324,0.10857586158118532,101,false
0,22,16664,0.10249367044994977,134,false
1,2,62104,0.12462870580642724,34,false
1,3,43116,0.11810851827896734,67,false
1,4,41448,0.1325321709464581,34,false
1,5,41200,0.1245514349324696,41,false
1,6,45488,0.11963815237923088,33,false
1,7,36816,0.1354808205558841,33,false
1,8,32904,0.11407724749120174,29,false
1,9,29048,0.12634872980060027,33,false
1,X,11156,0.08753634998999259,218,false
1,Y,1000,0.1873403926695796,33,false
1,10,31808,0.12010097503574116,34,false
1,11,36908,0.10452872221218948,33,false
1,12,39700,0.1253430239650824,24,false
1,13,22392,0.11169748317400802,34,false
1,14,25976,0.1058001751455924,42,false
1,15,27880,0.11689102328748976,24,false
1,16,27972,0.10320856066405203,35,false
1,17,35444,0.12470392509341913,40,false
1,18,18180,0.1165367352995172,21,false
1,19,33552,0.09042855960695918,39,false
1,20,21792,0.11491254173266029,28,false
1,21,11324,0.10645359039780436,22,false
1,22,16664,0.09665842100698377,34,false
2,2,62104,0.12106045818378379,329,false
2,3,43116,0.12122718686834515,354,false
2,4,41448,0.13092112190894603,418,false
2,5,41200,0.12710937959177437,332,false
2,6,45488,0.12019436001807793,300,false
2,7,36816,0.12873953076819974,370,false
2,8,32904,0.1138138114132655,272,false
2,9,29048,0.1253596023026024,362,false
2,X,11156,0.10832578216835674,590,false
2,Y,1000,0.17595347785324317,336,false
2,10,31808,0.12515417825109817,254,false
2,11,36908,0.1024578472554533,255,false
2,12,39700,0.12372639436948416,244,false
2,13,22392,0.10829696739472487,306,false
2,14,25976,0.09926642357079817,252,false
2,15,27880,0.11586412115183523,172,false
2,16,27972,0.10158897975147085,589,false
2,17,35444,0.12332739461318785,392,false
2,18,18180,0.11998020002670041,131,false
2,19,33552,0.0860675181671545,317,false
2,20,21792,0.1180178055891209,199,false
2,21,11324,0.10057008573461339,166,false
2,22,16664,0.09259913840589921,324,false
3,2,62104,0.12273066903559843,458,false
3,3,43116,0.119492421879134,698,false
3,4,41448,0.13266202640187338,449,false
3,5,41200,0.1280148723690832,364,false
3,6,45488,0.12218842520404223,328,false
3,7,36816,0.13103218437509528,354,false
3,8,32904,0.11417981651166892,259,false
3,9,29048,0.1260864240830603,350,false
3,X,11156,0.10183587233994855,792,false
3,Y,1000,0.1747047102514378,356,false
3,10,31808,0.12360783969339241,230,false
3,11,36908,0.10350394322773634,355,false
3,12,39700,0.12520649244849566,255,false
3,13,22392,0.10957156890413006,352,false
3,14,25976,0.1010720760794496,327,false
3,15,27880,0.11804171800461814,244,false
3,16,27972,0.10418167335879479,648,false
3,17,35444,0.12611266268697666,413,false
3,18,18180,0.120316821385541,181,false
3,19,33552,0.08826564832174992,341,false
3,20,21792,0.118878350234415,235,false
3,21,11324,0.10361305522253633,190,false
3,22,16664,0.09566588864582577,377,false
4,2,62104,0.1164633144353619,122,false
4,3,43116,0.11687451708094929,125,false
4,4,41448,0.12686097960798437,207,false
4,5,41200,0.12410752486019051,137,false
4,6,45488,0.11722860523912035,126,false
4,7,36816,0.12325359010297221,189,false
4,8,32904,0.10830163309803627,88,false
4,9,29048,0.11949954179146702,128,false
4,X,11156,0.09734570380335358,314,false
4,Y,1000,0.1748719672530206,102,false
4,10,31808,0.11634788864330309,167,false
4,11,36908,0.09644928395135084,80,false
4,12,39700,0.11651037176397393,97,false
4,13,22392,0.10713685284572204,82,false
4,14,25976,0.09554989901838404,223,false
4,15,27880,0.11163973867180461,154,false
4,16,27972,0.10050327962052659,232,false
4,17,35444,0.12157949849360024,220,false
4,18,18180,0.10915830155840447,34,false
4,19,33552,0.0833580923801517,74,false
4,20,21792,0.11449183458847416,46,false
4,21,11324,0.09941061614642148,45,false
4,22,16664,0.09032356014415806,100,false
5,2,62104,0.12100268230287074,40,false
5,3,43116,0.11807118795985903,55,false
5,4,41448,0.12970218707799158,76,false
5,5,41200,0.12155573605579935,66,false
5,6,45488,0.11891878689144582,27,false
5,7,36816,0.12841408003038374,43,false
5,8,32904,0.11052900268923334,21,false
5,9,29048,0.12518266690753202,36,false
5,X,11156,0.09652044235233007,144,false
5,Y,1000,0.1817872602263489,34,false
5,10,31808,0.12067060355769453,20,false
5,11,36908,0.10163033421392885,25,false
5,12,39700,0.12073714472477817,25,false
5,13,22392,0.1080532858656065,28,false
5,14,25976,0.09922668091043228,27,false
5,15,27880,0.11513655309395207,16,false
5,16,27972,0.1031704570027905,52,false
5,17,35444,0.1233004979457545,52,false
5,18,18180,0.12023197343815742,17,false
5,19,33552,0.08550902260605493,24,false
5,20,21792,0.1177705894313497,17,false
5,21,11324,0.10541547452545635,16,false
5,22,16664,0.09608955830366755,25,false
6,2,62104,0.12829867004408466,620,false
6,3,43116,0.12648420069892824,672,false
6,4,41448,0.13506078867051247,602,false
6,5,41200,0.13218926822149388,505,false
6,6,45488,0.12800483934746137,425,false
6,7,36816,0.13877534452853055,537,false
6,8,32904,0.12161993947402673,367,false
6,9,29048,0.13063675994555915,518,false
6,X,11156,0.09965020062665711,1333,false
6,Y,1000,0.19147440874374452,535,false
6,10,31808,0.12675467728513945,451,false
6,11,36908,0.1115212427548851,436,false
6,12,39700,0.132290881701178,436,false
6,13,22392,0.1156321025643898,456,false
6,14,25976,0.10466678842997164,452,false
6,15,27880,0.12408748773197878,397,false
6,16,27972,0.10592186491973846,474,false
6,17,35444,0.130718553813292,491,false
6,18,18180,0.12638826402938605,286,false
6,19,33552,0.09754100094007603,478,false
6,20,21792,0.12107183244915008,353,false
6,21,11324,0.11138837778544945,321,false
6,22,16664,0.10699134229883193,497,false
7,2,62104,0.1275783686104389,314,false
7,3,43116,0.12410703954073837,382,false
7,4,41448,0.13557528688259557,306,false
7,5,41200,0.1307393454500745,252,false
7,6,45488,0.1265959284156404,258,false
7,7,36816,0.13701508130322534,370,false
7,8,32904,0.11915077283911389,194,false
7,9,29048,0.13047648387266472,240,false
7,X,11156,0.10049452850240093,406,false
7,Y,1000,0.20226541876803977,312,false
7,10,31808,0.12577879647569465,147,false
7,11,36908,0.10987603387875869,249,false
7,12,39700,0.13080385470004433,207,false
7,13,22392,0.11328183634980625,268,false
7,14,25976,0.10167332984768122,285,false
7,15,27880,0.12182350433825222,192,false
7,16,27972,0.10651709750264421,361,false
7,17,35444,0.1270120252403701,317,false
7,18,18180,0.1246632273170444,149,false
7,19,33552,0.09694052647159576,205,false
7,20,21792,0.12059013342440232,181,false
7,21,11324,0.10988410047196008,149,false
